Providencia | número de entradas: 84 | date: 2023-05-03 10:45:53.022828
GCF_029542345.1 SAMN32686647
GCF_029278185.1 SAMN33687284
GCF_029277985.1 SAMN33687285
GCF_029277825.1 SAMN33687286
GCF_029011985.1 SAMN24018725
GCF_027595165.1 SAMN27964235
GCF_027362595.1 SAMN32252641
GCA_027286065.1 SAMN20960141
GCA_027286045.1 SAMN20674993
GCA_027286025.1 SAMN17039451
GCF_025916175.1 SAMN29990039
GCA_023970715.1 SAMN29005954
GCF_023704235.1 SAMN28197007
GCF_023650895.1 SAMN25186315
GCF_023547145.1 SAMN27484493
GCF_023520575.1 SAMN28204728
GCF_023205015.1 SAMN27737498
GCF_023184555.1 SAMN24180573
GCA_023066315.1 SAMN26445363
GCA_022846595.1 SAMD00446302
GCF_020985345.1 SAMN22900650
GCF_020808945.1 SAMN22826408
GCF_020683065.1 SAMN14226984
GCF_020271745.1 SAMN20477962
GCF_915403165.1 SAMEA9835634
GCF_915402015.1 SAMEA9835635
GCF_915402005.1 SAMEA9835633
GCF_915401745.1 SAMEA9835630
GCF_915401765.1 SAMEA9835632
GCF_915401735.1 SAMEA9835631
GCF_915401705.1 SAMEA9835636
GCF_915401715.1 SAMEA9835637
GCF_019890815.1 SAMN21036987
GCF_019343475.1 SAMN18499530
GCF_019048545.1 SAMN16357593
GCF_019048105.1 SAMN16357592
GCF_019047885.1 SAMN16357591
GCF_018861255.1 SAMN19573043
GCF_018861235.1 SAMN19571474
GCF_018861215.1 SAMN19573044
GCF_018771265.1 SAMN19471671
GCA_018128385.1 SAMN17736026
GCA_016618195.1 SAMN17221518
GCF_016406205.1 SAMN17109661
GCF_016128115.1 SAMN16357209
GCF_015832305.1 SAMN16844571
GCF_015571575.1 SAMN16304245
GCF_014394705.1 SAMN15897916
GCF_013702265.1 SAMN15577109
GCF_013702245.1 SAMN15577107
GCF_013702185.1 SAMN15577023
GCF_013702025.1 SAMN15576908
GCF_013694385.1 SAMN15576635
GCF_013423885.1 SAMN15501686
GCA_013283975.1 SAMN14258343
GCF_013255915.1 SAMN15002271
GCF_011045655.1 SAMN12560326
GCF_011045635.1 SAMN12560231
GCF_011045615.1 SAMN12559413
GCF_010748935.1 SAMN14083272
GCF_010669105.1 SAMN14048635
GCF_010320365.1 SAMD00185880
GCF_010320145.1 SAMD00185879
GCF_010319405.1 SAMD00185881
GCF_010319105.1 SAMD00185878
GCF_010318885.1 SAMD00185877
GCF_008693805.1 SAMN11056360
GCF_002843235.3 SAMN07508212
GCF_005157325.1 SAMN08803291
GCF_005155965.1 SAMN11523820
GCF_900637755.1 SAMEA26394418
GCF_900635875.1 SAMEA3222068
GCF_900475855.1 SAMEA3936798
GCF_900478095.1 SAMEA2665129
GCF_003204135.1 SAMN04014923
GCF_002984195.1 SAMN06173343
GCF_002983665.1 SAMN06173304
GCF_002947315.1 SAMN04014867
GCF_001558855.2 SAMN03996292
GCF_002393505.1 SAMN07312452
GCF_001888205.1 SAMN05629093
GCF_001874625.1 SAMN05734415
GCF_000259175.1 SAMN02604304
GCF_000754345.1 SAMN02904571
