#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000006737.3|SAMN02603664|GCA_000196395.1|Aeromonas salmonicida subsp. salmonicida A449||A449|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000196395.1	Complete Genome	4702402	5040536	6	NULL	Generic	PRJNA16723	National Research Council Canada - Institute of Marine Biosciences	SAMN02603664	"A449","CP000644"	NULL	NULL	NULL	257218	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000644	Aeromonas salmonicida subsp. salmonicida A449	NULL	NULL	645	NULL	NULL	A449	NULL	NULL	PDT000006737.3	2011-04-09	382245	NULL	NULL	NULL	NULL	NULL	0	0	0	0	10	10	NULL	"aadA1,ampC=HMM,blaOXA=PARTIAL,catA13,cphA,mcr-3,mcr-3=HMM,sul1,tet(E),vat=HMM"	"aadA1,ampC=HMM,blaOXA=PARTIAL,catA13,cphA,mcr-3,mcr-3=HMM,sul1,tet(E),vat=HMM"	10	"arsC=HMM,arsD=HMM,merA=HMM,merC,merD=HMM,merE=HMM,merP,merR,merT,qacEdelta1"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000009067.3|SAMN02469939|GCA_000234845.2|Aeromonas salmonicida subsp. salmonicida 01-B526||01-B526|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000234845.2	Contig	83743	4927927	604	Newbler v. 2.5.3	Generic	PRJNA71855	IBIS, Université Laval	SAMN02469939	"01-B526","AGVO"	NULL	NULL	NULL	348848	NULL	NULL	NULL	NULL	NULL	NULL	NULL	AGVO	Aeromonas salmonicida subsp. salmonicida 01-B526	NULL	NULL	645	NULL	NULL	01-B526	NULL	NULL	PDT000009067.3	2012-01-29	1076135	AGVO	AGVO00000000.1	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"ampC=HMM,blaOXA=PARTIAL,cphA,mcr-3,mcr-3=HMM,vat=HMM"	"ampC=HMM,blaOXA=PARTIAL,cphA,mcr-3,mcr-3=HMM,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000017354.3|SAMN02470909|GCA_000315855.2|Aeromonas salmonicida subsp. achromogenes AS03||AS03|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000315855.2	Contig	124543	4958383	69	GS De Novo Assembler v. 2.6	Generic	PRJNA175472	Seoul National University	SAMN02470909	"AMQG","AS03"	J H Kim	2006	NULL	756298	South Korea	crucian carp (Carassius carassius)	NULL	NULL	NULL	NULL	NULL	AMQG	Aeromonas salmonicida subsp. achromogenes AS03	NULL	NULL	645	NULL	NULL	AS03	NULL	NULL	PDT000017354.3	2013-08-13	1233098	AMQG	AMQG00000000.2	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"ampC=HMM,blaOXA,cphA"	"ampC=HMM,blaOXA,cphA"	1	"arsC=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000017367.4|SAMN03322533|GCA_000447435.2|Aeromonas salmonicida subsp. pectinolytica 34mel||34mel|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000447435.2	Contig	47147	4767351	253	Newbler v. 2.6; MIRA v. 3.4	Microbe	PRJNA198485	Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires	SAMN03322533	"34mel","DSM:12609"	NULL	1988	NULL	1737078	Argentina: Matanza River, Buenos Aires	NULL	NULL	extremely polluted river water	NULL	NULL	NULL	34mel	Aeromonas salmonicida subsp. pectinolytica 34mel	NULL	NULL	645	NULL	NULL	34mel	NULL	NULL	PDT000017367.4	2015-04-23	1324960	ARYZ	ARYZ00000000.2	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"ampC=HMM,blaOXA-956,cphA1,vat=HMM"	"ampC=HMM,blaOXA-956,cphA1,vat=HMM"	9	"arsC=HMM,arsD=HMM,merA=HMM,merC=HMM,merD,merE,merP,merR,merT"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000027627.2|SAMD00000014|GCA_000647955.1|Aeromonas salmonicida subsp. masoucida NBRC 13784||NBRC 13784|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000647955.1	Contig	43858	4502258	227	Newbler v. 2.6	MIGS Cultured Bacterial/Archaeal	PRJDB242	National Institute of Technology and Evaluation	SAMD00000014	"NBRC 13784"	NULL	NULL	NULL	1023958	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Aeromonas salmonicida subsp. masoucida NBRC 13784	NULL	NULL	645	NULL	NULL	NBRC 13784	NULL	"Aeromonas salmonicida subsp. masoucida NBRC 13784 genome sequencing project"	PDT000027627.2	2014-04-24	1216980	BAWQ	BAWQ00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"ampC=HMM,blaOXA,cphA=PARTIAL_END_OF_CONTIG"	"ampC=HMM,blaOXA,cphA=PARTIAL_END_OF_CONTIG"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT000039792.2|SAMN02954503|GCA_000746985.1|Aeromonas bestiarum||CBA100|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000746985.1	Contig	106385	4788109	118	Velvet v. 1.2.10	Microbe	PRJNA257751	Universidad de Santiago de Chile	SAMN02954503	"Aeromonas CBA100","CBA100"	Mario Tello	2013-10-14	NULL	1303468	Chile	rainbow trout	NULL	fish	NULL	NULL	NULL	Aeromonas CBA100	Aeromonas bestiarum	NULL	NULL	105751	NULL	NULL	CBA100	NULL	NULL	PDT000039792.2	2014-09-24	105751	JPWL	JPWL00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"ampC=HMM,blaOXA,cphA1,mcr-3=HMM,vat=HMM"	"ampC=HMM,blaOXA,cphA1,mcr-3=HMM,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000044591.2|SAMN03120845|GCA_000786805.1|Aeromonas salmonicida subsp. salmonicida||2004-05MF26|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000786805.1	Contig	119364	5021090	126	A5 pipeline v. 20140401	Microbe	PRJNA264317	Universite Laval	SAMN03120845	"2004-05MF26","SRS839383"	NULL	2004	NULL	1388338	Canada: New Brunswick	fish	NULL	sick fish	NULL	NULL	NULL	2004-05MF26	Aeromonas salmonicida subsp. salmonicida	NULL	NULL	645	NULL	NULL	2004-05MF26	NULL	NULL	PDT000044591.2	2014-11-25	29491	JRYW	JRYW00000000.1	NULL	NULL	NULL	0	0	0	0	14	14	NULL	"aadA7,ampC=HMM,aph(3'')-Ib,aph(6)-Id,blaCMY-2,blaOXA=PARTIAL,cphA,floR,mcr-3,mcr-3=HMM,sul1,sul2,tet(A),vat=HMM"	"aadA7,ampC=HMM,aph(3'')-Ib,aph(6)-Id,blaCMY-2,blaOXA=PARTIAL,cphA,floR,mcr-3,mcr-3=HMM,sul1,sul2,tet(A),vat=HMM"	10	"arsC=HMM,arsD=HMM,merA,merB,merD,merE,merP,merR,merT,qacEdelta1"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000044592.2|SAMN03120844|GCA_000786795.1|Aeromonas salmonicida subsp. salmonicida||2009-144K3|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000786795.1	Contig	64305	4958831	214	Newbler v. 2.5.3	Microbe	PRJNA264317	Universite Laval	SAMN03120844	"2009-144K3","SRS839083"	NULL	2009	NULL	1388358	Canada: New Brunswick	fish	NULL	sick fish	NULL	NULL	NULL	2009-144K3	Aeromonas salmonicida subsp. salmonicida	NULL	NULL	645	NULL	NULL	2009-144K3	NULL	NULL	PDT000044592.2	2014-11-25	29491	JRYV	JRYV00000000.1	NULL	NULL	NULL	0	0	0	0	12	12	NULL	"ampC=HMM,aph(3'')-Ib,aph(6)-Id,blaOXA=PARTIAL,cphA,floR,mcr-3,mcr-3=HMM,sul2,tet(C),tet(H),vat=HMM"	"ampC=HMM,aph(3'')-Ib,aph(6)-Id,blaOXA=PARTIAL,cphA,floR,mcr-3,mcr-3=HMM,sul2,tet(C),tet(H),vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000048292.2|SAMEA2752425|GCA_000819745.1|Aeromonas bestiarum||CECT 4227|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000819745.1	Scaffold	135742	4690820	65	NULL	Generic	PRJEB7022	University of Connecticut	SAMEA2752425	"CECT 4227","CECT4227_sam","ERS541022"	NULL	NULL	NULL	1478948	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Aeromonas bestiarum	NULL	NULL	105751	NULL	NULL	CECT 4227	NULL	NULL	PDT000048292.2	2015-01-16	105751	CDDA	CDDA00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"ampC=HMM,blaOXA,cphA1,mcr-3=HMM,vat=HMM"	"ampC=HMM,blaOXA,cphA1,mcr-3=HMM,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2023-04-17.1	COMBINED	1
PDT000048307.2|SAMEA2752412|GCA_000820065.1|Aeromonas salmonicida subsp. salmonicida||CIP 103209|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000820065.1	Scaffold	89543	4740147	133	NULL	Generic	PRJEB7036	University of Connecticut	SAMEA2752412	"CIP 103209","CIP103209_sam","ERS541009"	NULL	NULL	NULL	1479288	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Aeromonas salmonicida subsp. salmonicida	NULL	NULL	645	NULL	NULL	CIP 103209	NULL	NULL	PDT000048307.2	2015-01-16	29491	CDDW	CDDW00000000.1	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"ampC=HMM,blaOXA=PARTIAL,cphA,mcr-3,mcr-3=HMM,vat=HMM"	"ampC=HMM,blaOXA=PARTIAL,cphA,mcr-3,mcr-3=HMM,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
