Citrobacter_freundii | número de entradas: 118 | date: 2023-05-03 10:41:25.144252
GCF_029718965.1 SAMN15488643
GCF_029717865.1 SAMN15488495
GCF_029719765.1 SAMN15488679
GCF_029719365.1 SAMN15488611
GCF_029717485.1 SAMN15488523
GCF_029718045.1 SAMN15488480
GCF_029717985.1 SAMN15488484
GCF_029717145.1 SAMN15488540
GCF_029716005.1 SAMN15488551
GCF_027595105.1 SAMN28016853
GCF_026526975.1 SAMN31929640
GCF_026240875.1 SAMN31693747
GCF_026240835.1 SAMN31693425
GCF_905232515.2 SAMEA7962742
GCF_905232395.2 SAMEA7962729
GCF_905219065.2 SAMEA7853256
GCF_905218895.2 SAMEA7853238
GCF_023658085.1 SAMN28680541
GCF_023612475.1 SAMN18062620
GCF_905338045.2 SAMEA8158485
GCF_905329885.2 SAMEA8065677
GCF_023330605.1 SAMN28095538
GCF_022646275.1 SAMN15694748
GCF_022430505.1 SAMN26087385
GCF_020809005.1 SAMN21601121
GCA_020683225.1 SAMN22548463
GCF_017086505.1 SAMN13140889
GCF_016939615.1 SAMN16933282
GCF_904425445.1 SAMEA7313125
GCF_015910405.1 SAMN13747506
GCF_904859905.1 SAMEA3357462
GCA_015134795.1 SAMD00195860
GCA_015134625.1 SAMD00195843
GCF_014725915.1 SAMN11505996
GCF_014337295.1 SAMN08148336
GCF_014189375.1 SAMN11506036
GCF_014189355.1 SAMN11506022
GCF_014189285.1 SAMN11506077
GCF_014170055.1 SAMN15086845
GCF_014169975.1 SAMN15086848
GCF_013899425.1 SAMN15148080
GCF_013899365.1 SAMN15148085
GCF_013899385.1 SAMN15148084
GCF_013899405.1 SAMN15148082
GCF_013899325.1 SAMN15148086
GCF_013899035.1 SAMN15148109
GCF_013883595.1 SAMN15148221
GCF_013882995.1 SAMN15148223
GCF_013828645.1 SAMN15148277
GCF_013826265.1 SAMN15148289
GCF_013821695.1 SAMN15148307
GCF_013816655.1 SAMN15148355
GCF_013816335.1 SAMN15148357
GCF_013815045.1 SAMN15148363
GCF_013801705.1 SAMN15148428
GCF_013798355.1 SAMN15148447
GCF_013798115.1 SAMN15148449
GCF_013792365.1 SAMN15148495
GCF_013792125.1 SAMN15148496
GCF_013791615.1 SAMN15148500
GCF_013790265.1 SAMN15148520
GCF_013786205.1 SAMN15148556
GCF_013786145.1 SAMN15148568
GCF_013786025.1 SAMN15148581
GCF_013785525.1 SAMN15148603
GCF_013785085.1 SAMN15148628
GCF_013784645.1 SAMN15148638
GCF_013784225.1 SAMN15148658
GCF_013751895.1 SAMN15148584
GCF_013751655.1 SAMN15148588
GCF_013748855.1 SAMN15148618
GCF_013748235.1 SAMN15148631
GCF_013745755.1 SAMN15148688
GCF_013741395.1 SAMN15148595
GCF_013740875.1 SAMN15148615
GCF_013739375.1 SAMN15148674
GCF_013738135.1 SAMN15148590
GCF_013731955.1 SAMN15148707
GCF_013730455.1 SAMN15148717
GCF_013729995.1 SAMN15148718
GCF_013727455.1 SAMN15148736
GCF_013726615.1 SAMN15148742
GCF_013726215.1 SAMN15148744
GCF_013725595.1 SAMN15148747
GCF_013724985.1 SAMN15148754
GCF_013724765.1 SAMN15148753
GCF_013612875.1 SAMN15148600
GCF_013389635.1 SAMN15394190
GCF_013371705.1 SAMN13737474
GCF_013085885.1 SAMN13978991
GCF_011064845.1 SAMN14128751
GCF_010365585.1 SAMN13951913
GCF_009857035.1 SAMN13282750
GCF_009856695.1 SAMN13669122
GCF_008931505.1 SAMN12289346
GCF_008931485.1 SAMN12289284
GCF_902387635.1 SAMEA5852000
GCF_004792475.1 SAMN11268911
GCF_900520375.1 SAMEA4830818
GCF_900520335.1 SAMEA4830817
GCF_004103775.1 SAMN10754625
GCF_900635425.1 SAMEA2612490
GCF_003812345.1 SAMN10163242
GCF_003812325.1 SAMN10163243
GCF_003665675.1 SAMN07729548
GCF_003665655.1 SAMN07729552
GCF_003665635.1 SAMN07729545
GCF_003665615.1 SAMN07729546
GCF_003665595.1 SAMN07729547
GCF_003665535.1 SAMN07729551
GCF_000783995.2 SAMN02934510
GCF_002796505.1 SAMN04014863
GCF_002786865.1 SAMN07944242
GCF_002215385.1 SAMN07280739
GCF_001718055.1 SAMN05570461
GCF_001022275.1 SAMN03733754
GCF_001022155.1 SAMN03733741
GCF_000648515.1 SAMN02713684
