Enterobacter_roggenkampii | número de entradas: 39 | date: 2023-05-03 10:43:19.324459
GCF_029834495.1 SAMN34139910
GCF_029718635.1 SAMN15488572
GCF_029542745.1 SAMN31525259
GCF_029542705.1 SAMN31525273
GCF_029542685.1 SAMN31523745
GCF_029536245.1 SAMN33770999
GCF_018596855.2 SAMN19316169
GCF_025999915.1 SAMD00535933
GCF_025021485.1 SAMN30618652
GCF_023650875.1 SAMN24967284
GCF_023375625.1 SAMN27363776
GCF_023375585.1 SAMN27363726
GCF_023375565.1 SAMN27363725
GCF_023195715.1 SAMN27117675
GCF_023023685.1 SAMN21379549
GCF_023023065.1 SAMN21379557
GCF_021347605.1 SAMN22799449
GCF_020881955.1 SAMN22871631
GCF_019047025.1 SAMN16357572
GCF_016756655.1 SAMD00235761
GCF_015136315.1 SAMD00195906
GCF_014524505.1 SAMN13881485
GCF_014490845.1 SAMN15905311
GCF_014490825.1 SAMN15905310
GCF_013742615.1 SAMN15148567
GCF_013733395.1 SAMN15148685
GCF_013728935.1 SAMN15148725
GCF_013725995.1 SAMN15148745
GCF_013635755.1 SAMN15148444
GCF_013403545.1 SAMN15460797
GCF_013389415.1 SAMN15329677
GCF_009184765.2 SAMN12995719
GCF_004684365.1 SAMN11283933
GCF_004138605.1 SAMN10188240
GCF_003812145.1 SAMN10163217
GCF_002211685.1 SAMN07260410
GCF_002007805.1 SAMN06323809
GCF_001729805.1 SAMN05581750
GCF_000807415.2 SAMN03067419
