#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000006252.3|SAMN02393820|GCA_000176155.1|Vibrio metschnikovii CIP 69.14||CIP 69.14|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000176155.1	Contig	877075	3815101	11	NULL	Generic	PRJNA40493	Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	SAMN02393820	"ACZO","CIP 69.14"	NULL	NULL	NULL	220338	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ACZO	Vibrio metschnikovii CIP 69.14	NULL	NULL	28172	NULL	NULL	CIP 69.14	NULL	NULL	PDT000006252.3	2010-11-18	675813	ACZO	ACZO00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000358436.2|SAMEA26396668|GCA_900460305.1|Vibrio metschnikovii|not available: to be reported later|NCTC8563|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_900460305.1	Contig	2007047	3747055	8	NULL	Generic	PRJEB6403	Wellcome Sanger Institute	SAMEA26396668	"ERS1473310","NCTC8563","NCTC:8563","dd7c8f10-c085-11e6-b158-3c4a9275d6c8"	NULL	1900/1954	NULL	6981648	NULL	not available	NULL	not available: to be reported later	NULL	NULL	NULL	NULL	Vibrio metschnikovii	not available: to be reported later	NULL	28172	NULL	NULL	NCTC8563	NULL	NULL	PDT000358436.2	2018-08-02	28172	UHIS	UHIS00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"arsD=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000361858.2|SAMEA4442457|GCA_900460295.1|Vibrio metschnikovii|not available: to be reported later|NCTC8443|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_900460295.1	Contig	2829732	3831334	3	NULL	Generic	PRJEB6403	Wellcome Sanger Institute	SAMEA4442457	"ERS1353906","NCTC8443","NCTC:8443","fd79a2f0-7bf5-11e6-b68d-3c4a9275d6c8"	NULL	1900/1951	NULL	6999048	NULL	Birds (Fowl)	NULL	not available: to be reported later	NULL	NULL	NULL	NULL	Vibrio metschnikovii	not available: to be reported later	NULL	28172	NULL	NULL	NCTC8443	NULL	NULL	PDT000361858.2	2018-08-03	28172	UHIH	UHIH00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"arsD=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000594688.1|SAMN12856770|GCA_028991935.1|Vibrio metschnikovii||PNUSAV001068|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR10190311	GCA_028991935.1	Contig	75520	3934507	192	SKESA v. 2.2	Pathogen: clinical or host-associated	PRJNA266293	CDC	SAMN12856770	"PNUSAV001068","SRS5442490"	CDC	2019-09-09	clinical	41219958	USA	NULL	NULL	Tilapia	NULL	NULL	NULL	NULL	Vibrio metschnikovii	NULL	NULL	28172	EDLB-CDC	2019-09-27	PNUSAV001068	NULL	NULL	PDT000594688.1	2019-09-27	28172	ABKWRC	ABKWRC000000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"blaCARB=HMM"	"blaCARB=HMM"	1	"arsD=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000594734.1|SAMN12856768|GCA_028991895.1|Vibrio metschnikovii||PNUSAV001067|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR10190447	GCA_028991895.1	Contig	61855	4007926	220	SKESA v. 2.2	Pathogen: clinical or host-associated	PRJNA266293	CDC	SAMN12856768	"PNUSAV001067","SRS5442619"	CDC	2019-09-09	clinical	41219918	USA	NULL	NULL	shrimp	NULL	NULL	NULL	NULL	Vibrio metschnikovii	NULL	NULL	28172	EDLB-CDC	2019-09-27	PNUSAV001067	NULL	NULL	PDT000594734.1	2019-09-27	28172	ABKWRD	ABKWRD000000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"blaCARB=HMM"	"blaCARB=HMM"	7	"arsD=HMM,merA,merD,merE,merP,merR,merT"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000604118.1|SAMN13008990|GCA_028991875.1|Vibrio metschnikovii||PNUSAV001111|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR10257111	GCA_028991875.1	Contig	106123	3650760	153	SKESA v. 2.2	Pathogen: clinical or host-associated	PRJNA266293	CDC	SAMN13008990	"PNUSAV001111","SRS5500453"	CDC	2019-09-23	clinical	41219908	USA	NULL	NULL	shrimp	NULL	NULL	NULL	NULL	Vibrio metschnikovii	NULL	NULL	28172	EDLB-CDC	2019-10-10	PNUSAV001111	NULL	NULL	PDT000604118.1	2019-10-10	28172	ABKWRA	ABKWRA000000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"blaCARB=HMM"	"blaCARB=HMM"	1	"arsD=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000609502.1|SAMN13039664|GCA_028991855.1|Vibrio metschnikovii||PNUSAV001120|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR10292064	GCA_028991855.1	Contig	111258	3891260	120	SKESA v. 2.2	Pathogen: clinical or host-associated	PRJNA266293	CDC	SAMN13039664	"PNUSAV001120","SRS5526264"	CDC	2019-09-23	clinical	41219878	USA	NULL	NULL	Tilapia	NULL	NULL	NULL	NULL	Vibrio metschnikovii	NULL	NULL	28172	EDLB-CDC	2019-10-16	PNUSAV001120	NULL	NULL	PDT000609502.1	2019-10-16	28172	ABKWQZ	ABKWQZ000000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"blaCARB=HMM"	"blaCARB=HMM"	1	"arsD=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000609506.1|SAMN13039719|GCA_028991835.1|Vibrio metschnikovii||PNUSAV001123|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR10292113	GCA_028991835.1	Contig	124397	3997908	131	SKESA v. 2.2	Pathogen: clinical or host-associated	PRJNA266293	CDC	SAMN13039719	"PNUSAV001123","SRS5526313"	CDC	2019-09-23	clinical	41219858	USA	NULL	NULL	salmon	NULL	NULL	NULL	NULL	Vibrio metschnikovii	NULL	NULL	28172	EDLB-CDC	2019-10-16	PNUSAV001123	NULL	NULL	PDT000609506.1	2019-10-16	28172	ABKWQY	ABKWQY000000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"blaCARB=HMM"	"blaCARB=HMM"	1	"arsD=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000639389.1|SAMN13471435|GCA_028991815.1|Vibrio metschnikovii||19MO10SH02-V2|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR10578038	GCA_028991815.1	Contig	95565	3778615	131	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA590891	National Antimicrobial Resistance Monitoring System	SAMN13471435	"19MO10SH02-V2","SRS5754575"	MO	2019-10-07	environmental/other	41219838	USA:MO	NULL	NULL	shrimp	NULL	NULL	NULL	NULL	Vibrio metschnikovii	NULL	NULL	28172	PULSENET	2019-12-04	19MO10SH02-V2	NULL	NULL	PDT000639389.1	2019-12-04	28172	ABKWQW	ABKWQW000000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"blaCARB=HMM"	"blaCARB=HMM"	1	"arsD=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000640130.1|SAMN13481069|GCA_028991775.1|Vibrio metschnikovii||19MO10SH06-V1|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR10584776	GCA_028991775.1	Contig	89277	3844098	161	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA590891	National Antimicrobial Resistance Monitoring System	SAMN13481069	"19MO10SH06-V1","SRS5759945"	MO	2019-10-21	environmental/other	41219798	USA:MO	NULL	NULL	shrimp	NULL	NULL	NULL	NULL	Vibrio metschnikovii	NULL	NULL	28172	PULSENET	2019-12-06	19MO10SH06-V1	NULL	NULL	PDT000640130.1	2019-12-06	28172	ABKWQU	ABKWQU000000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"blaCARB=HMM"	"blaCARB=HMM"	1	"arsD=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
