#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000007179.3|SAMN02471025|GCA_000211415.1|Enterobacter mori LMG 25706||LMG 25706|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000211415.1	Scaffold	63070	4960219	139	Velvet v. 1.0.15	Generic	PRJNA62277	Institute of Biotechnology, Zhejiang University	SAMN02471025	"AEXB","LMG 25706","LMG:25706"	NULL	NULL	NULL	276838	NULL	NULL	NULL	NULL	NULL	NULL	NULL	AEXB	Enterobacter mori LMG 25706	NULL	NULL	539813	NULL	NULL	LMG 25706	NULL	NULL	PDT000007179.3	2011-04-29	980518	AEXB	AEXB00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT,catA=HMM,fosA,oqxB,qnrE3"	"blaACT,catA=HMM,fosA,oqxB,qnrE3"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000228390.2|SAMN06925306|GCA_002224165.1|Enterobacter mori||800721-17|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002224165.1	Scaffold	86101	4960127	159	Velvet v. MARCH-2017	Pathogen: clinical or host-associated	PRJNA386094	Austrian Agency for Health and Food Safety, Vienna, Austria	SAMN06925306	"308485","800721-17"	NULL	2016-12-20	clinical	4833068	Austria: Carinthia	Homo sapiens	otitis externa	ear canal	46.63 N 14.31 E	NULL	NULL	308485	Enterobacter mori	NULL	NULL	539813	NULL	NULL	800721-17	NULL	NULL	PDT000228390.2	2017-07-24	539813	NFZM	NFZM00000000.1	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"blaACT,blaIMI-2,catA=HMM,fosA,oqxB,qnrE"	"blaACT,blaIMI-2,catA=HMM,fosA,oqxB,qnrE"	6	"arsC,arsC=HMM,arsD=HMM,arsR,asr=HMM,fieF"	0	NULL	3.10.21	2021-12-21.1	COMBINED	1
PDT000267117.2|SAMN06767796|GCA_002785605.1|Enterobacter mori||ECC1766|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002785605.1	Scaffold	555978	5130714	31	CLC NGS Cell v. 9.1	Pathogen: clinical or host-associated	PRJNA383602	zhejiang University	SAMN06767796	"ECC1766"	Yonghong Xiao	NULL	clinical	5666398	China: Hangzhou	Homo sapiens	NULL	NULL	30.3 N 120.2 E	NULL	NULL	ECC1766	Enterobacter mori	NULL	NULL	539813	NULL	NULL	ECC1766	NULL	NULL	PDT000267117.2	2017-11-17	539813	NEEF	NEEF00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT,catA=HMM,fosA,oqxB,qnrE3"	"blaACT,catA=HMM,fosA,oqxB,qnrE3"	7	"arsC=HMM,asr=HMM,fieF,silA,terD,terW,terZ=PARTIAL_END_OF_CONTIG"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000308254.2|SAMN08741157|GCA_003056935.1|Enterobacter mori||WCHEM045008|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003056935.1	Contig	410072	4800749	44	Unicycler v. 0.4.4	Microbe	PRJNA415108	West China Hospital, Sichuan University	SAMN08741157	"SRS3188833","The Microbe sample of Enterobacter mori strain WCHEM045008","WCHEM045008"	NULL	2016	clinical	6386838	China: Chengdu, Sichuan	Homo sapiens	NULL	NULL	NULL	NULL	NULL	The Microbe sample of Enterobacter mori strain WCHEM045008	Enterobacter mori	NULL	NULL	539813	NULL	NULL	WCHEM045008	NULL	NULL	PDT000308254.2	2018-04-18	539813	PYBR	PYBR00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT,catA=HMM,fosA,oqxB,qnrE3"	"blaACT,catA=HMM,fosA,oqxB,qnrE3"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000389162.4|SAMN10091212|GCA_003606205.2|Enterobacter mori||CCUG 72520|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003606205.2	Contig	330852	4928388	27	SPAdes v. 3.11	Microbe	PRJNA305687	University of Gothenburg - CCUG	SAMN10091212	"CCUG 72520","CCUG:72520","Draft genome sequence of Enterobacter tabaci CCUG 72520T"	Y. Q. Duan	NULL	NULL	13706508	China: Yunnan, Kunming	Nicotiana tabacum	NULL	stem	25.033333 N 102.700000 E	NULL	NULL	Draft genome sequence of Enterobacter tabaci CCUG 72520T	Enterobacter mori	NULL	NULL	539813	NULL	NULL	CCUG 72520	NULL	NULL	PDT000389162.4	2019-09-11	539813	QZDQ	QZDQ00000000.2	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT,catA=HMM,fosA,oqxB,qnrE"	"blaACT,catA=HMM,fosA,oqxB,qnrE"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.10.24	2022-04-04.1	COMBINED	1
PDT000429877.2|SAMN08027256|GCA_003986695.1|Enterobacter mori||SCEM020047|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003986695.1	Contig	186694	5276730	122	Unicycler v. 0.4.7	Microbe	PRJNA415108	West China Hospital, Sichuan University	SAMN08027256	"SCEM020047","SRS2688544","The micro sample of Enterobacter mori strain SCEM020047"	NULL	2016	clinical	8170338	China: Sichuan	Homo sapiens	NULL	NULL	NULL	NULL	NULL	The micro sample of Enterobacter mori strain SCEM020047	Enterobacter mori	NULL	NULL	539813	NULL	NULL	SCEM020047	NULL	NULL	PDT000429877.2	2018-12-31	539813	RXPP	RXPP00000000.1	NULL	NULL	NULL	0	0	0	0	19	18	NULL	"aac(6')-Ib4,aadA1,armA,blaACT,blaCTX-M-3,blaIMP-4,blaNDM-1,blaSHV-12,blaTEM-1,ble,catA=HMM,catB3,fosA,mcr-9.1,mph(E),msr(E),oqxB,qnrE3,sul1"	"aac(6')-Ib4,aadA1,armA,blaACT,blaCTX-M-3,blaIMP-4,blaNDM-1,blaSHV-12,blaTEM-1,ble,catA=HMM,catB3,fosA,mph(E),msr(E),oqxB,qnrE3,sul1"	25	"arsC,arsC=HMM,asr=HMM,fieF,merA,merC=HMM,merD,merE,merP=HMM,merR,merT,pcoS,qacEdelta1,qacG2,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ"	0	NULL	3.10.40	2022-08-09.1	COMBINED	1
PDT000572889.2|SAMEA5849516|GCA_902362215.1|Enterobacter mori|||Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_902362215.1	Scaffold	102700	4889793	76	NULL	Generic	PRJEB33885	EMG	SAMEA5849516	"ERS3638045","MGYG-HGUT-00015"	NULL	NULL	clinical	13386758	United Kingdom	NULL	NULL	human gut	NULL	NULL	NULL	NULL	Enterobacter mori	NULL	NULL	539813	NULL	NULL	NULL	NULL	"Human gut genomes"	PDT000572889.2	2019-08-24	539813	CABIVX	CABIVX000000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT,catA=HMM,fosA,oqxB,qnrE"	"blaACT,catA=HMM,fosA,oqxB,qnrE"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.10.40	2022-08-09.1	COMBINED	1
PDT000902107.2|SAMN16131364|GCA_015708675.1|Enterobacter mori||HSW1412|Pathogen: environmental/food/other	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_015708675.1	Complete Genome	4733305	4930410	3	Unicycler v. v0.4.8	Pathogen: environmental/food/other	PRJNA663366	Shenzhen People's Hospital	SAMN16131364	"HSW1412"	Shenzhen People's Hospital	2019-10	environmental/other	23484378	China: Guangdong	NULL	NULL	sewage water	22.56 N 114.13 E	NULL	NULL	HSW1412	Enterobacter mori	NULL	NULL	539813	NULL	NULL	HSW1412	NULL	NULL	PDT000902107.2	2020-12-01	539813	NULL	NULL	NULL	NULL	NULL	0	0	0	0	10	10	NULL	"ampC=HMM,aph(3'')-Ib,aph(6)-Id,blaCTX-M-3,blaTEM-1,catA=HMM,mcr-5.1,oqxB,qnrS1,sul2"	"ampC=HMM,aph(3'')-Ib,aph(6)-Id,blaCTX-M-3,blaTEM-1,catA=HMM,mcr-5.1,oqxB,qnrS1,sul2"	10	"arsA,arsB,arsC,arsD,arsR,asr=HMM,fieF,ncrA,ncrB,ncrC"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT001001332.1|SAMN18636551||Enterobacter mori||Enterobacter_mori_2021CK-00794|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR14154250	NULL	NULL	296418	5053641	57	NULL	Pathogen: clinical or host-associated	PRJNA288601	Centers for Disease Control and Prevention.  Division of Healthcare Quality Promotion	SAMN18636551	"2021CK-00794","Enterobacter_mori_2021CK-00794","SRS8646361"	NULL	2021-03-08	clinical	NULL	USA	Homo sapiens	NULL	stool	NULL	NULL	NULL	2021CK-00794	Enterobacter mori	NULL	NULL	539813	UPHL_ID	2021-04-07	Enterobacter_mori_2021CK-00794	NULL	NULL	PDT001001332.1	2021-04-07	539813	NULL	NULL	NULL	NULL	NULL	0	0	0	0	13	13	NULL	"aadA2,aph(3'')-Ib,aph(3')-Ib,aph(6)-Id,blaACT,blaKPC-2,dfrA12,fosA,mph(A),oqxA,oqxB,qnrE3,sul1"	"aadA2,aph(3'')-Ib,aph(3')-Ib,aph(6)-Id,blaACT,blaKPC-2,dfrA12,fosA,mph(A),oqxA,oqxB,qnrE3,sul1"	24	"fieF,merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,qacEdelta1,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ"	0	NULL	3.11.2	2023-02-23.1	NUCLEOTIDE	1
PDT001018799.2|SAMN17146118|GCA_018257755.1|Enterobacter mori||JGM37|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_018257755.1	Scaffold	507969	4827687	26	SPAdes v. 3.11.1	Microbe	PRJNA687492	Cornell University	SAMN17146118	"Enterobacter mori JGM37","JGM37","SRS8852180"	NULL	2015	NULL	26590918	USA: Ithaca, NY	Drosophila	NULL	Kitchen B	NULL	NULL	NULL	Enterobacter mori JGM37	Enterobacter mori	NULL	NULL	539813	NULL	NULL	JGM37	NULL	NULL	PDT001018799.2	2021-05-04	539813	JAERJG	JAERJG000000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT,catA=HMM,fosA,oqxB,qnrE"	"blaACT,catA=HMM,fosA,oqxB,qnrE"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.10.24	2022-04-04.1	COMBINED	1
