Pseudomonas_aeruginosa | número de entradas: 668 | date: 2023-05-03 10:45:58.661813
GCF_029857015.1 SAMN31342298
GCF_029856995.1 SAMN31342292
GCA_028595525.2 SAMN32292837
GCA_028595865.2 SAMN32292824
GCF_029201245.1 SAMN33573373
GCF_028961985.1 SAMN32964166
GCF_028751785.1 SAMN17508957
GCF_028743595.1 SAMN33246675
GCF_028622895.1 SAMN32733991
GCF_028622015.1 SAMN33193898
GCF_028610205.1 SAMN18631022
GCF_028610185.1 SAMN18630990
GCF_028610165.1 SAMN18630991
GCF_028610145.1 SAMN18630992
GCF_028610105.1 SAMN18630995
GCF_028610065.1 SAMN18630998
GCF_028610045.1 SAMN18630999
GCF_028610025.1 SAMN18631000
GCF_028610005.1 SAMN18631001
GCF_028609985.1 SAMN18631003
GCF_028609965.1 SAMN18631004
GCF_028609945.1 SAMN18631006
GCF_028609925.1 SAMN18631009
GCF_028609905.1 SAMN18631010
GCF_028609605.1 SAMN18631011
GCF_028609585.1 SAMN18631014
GCF_028609565.1 SAMN18631015
GCF_028609545.1 SAMN18631016
GCF_028609525.1 SAMN18631018
GCF_028609505.1 SAMN18631019
GCF_028609485.1 SAMN18631020
GCF_028609465.1 SAMN18631021
GCF_028609445.1 SAMN18631023
GCF_028609425.1 SAMN18631024
GCF_028609405.1 SAMN18631025
GCF_028609385.1 SAMN19313529
GCF_028609365.1 SAMN18631026
GCF_028609345.1 SAMN18631027
GCF_028609325.1 SAMN18631028
GCF_028609305.1 SAMN18631031
GCF_028609285.1 SAMN18631032
GCF_028609265.1 SAMN19313530
GCF_028609245.1 SAMN18631033
GCF_028609225.1 SAMN18631036
GCF_028609205.1 SAMN18631037
GCF_028609185.1 SAMN18631038
GCF_028609145.1 SAMN18631040
GCF_028609125.1 SAMN18631041
GCF_028609105.1 SAMN18631042
GCF_028609085.1 SAMN18631043
GCF_028609065.1 SAMN18631044
GCF_028609045.1 SAMN18631045
GCF_028609025.1 SAMN18631046
GCF_028609005.1 SAMN18631050
GCF_028608985.1 SAMN18631051
GCF_028608965.1 SAMN18631052
GCF_028608945.1 SAMN18631053
GCF_028608925.1 SAMN18631055
GCF_028608905.1 SAMN18631056
GCF_028608885.1 SAMN18631057
GCF_028608865.1 SAMN18631058
GCF_028608845.1 SAMN19313478
GCF_028608825.1 SAMN19313480
GCF_028608805.1 SAMN19313481
GCF_028608785.1 SAMN19313482
GCF_028608765.1 SAMN19313483
GCF_028608745.1 SAMN19313484
GCF_028608725.1 SAMN19313485
GCF_028608705.1 SAMN19313491
GCF_028608685.1 SAMN19313492
GCF_028608665.1 SAMN19313493
GCF_028608645.1 SAMN19313494
GCF_028608625.1 SAMN19313495
GCF_028608605.1 SAMN19313496
GCF_028608585.1 SAMN19313498
GCF_028608565.1 SAMN19313499
GCF_028608525.1 SAMN19313502
GCF_028608505.1 SAMN19313504
GCF_028608485.1 SAMN19313505
GCF_028607385.1 SAMN19313507
GCF_028607365.1 SAMN19313508
GCF_028607345.1 SAMN19313509
GCF_028607305.1 SAMN19313513
GCF_028607285.1 SAMN19313515
GCF_028607265.1 SAMN19313516
GCF_028607245.1 SAMN19313517
GCF_028607225.1 SAMN19313518
GCF_028607205.1 SAMN19313519
GCF_028607185.1 SAMN19313523
GCF_028607165.1 SAMN19313525
GCF_028607145.1 SAMN19313526
GCF_028607125.1 SAMN19313527
GCF_028404105.1 SAMN32874250
GCF_028404085.1 SAMN32874245
GCF_028404065.1 SAMN32874243
GCF_028404045.1 SAMN32874241
GCF_028404025.1 SAMN32874249
GCF_028404005.1 SAMN32874242
GCF_028403985.1 SAMN32874244
GCF_028403965.1 SAMN32874240
GCF_027595025.1 SAMN28016697
GCF_027595005.1 SAMN28016687
GCF_027594985.1 SAMN28016686
GCF_027594965.1 SAMN27964220
GCF_027594685.1 SAMN31002545
GCF_027571365.1 SAMN30438123
GCF_027571345.1 SAMN30438139
GCF_027571325.1 SAMN30438135
GCF_027571305.1 SAMN30438133
GCF_027571285.1 SAMN30438086
GCF_027571215.1 SAMN30438137
GCF_027571195.1 SAMN30438132
GCF_027571175.1 SAMN30438130
GCF_027571155.1 SAMN30438125
GCF_027571135.1 SAMN30438129
GCF_027571115.1 SAMN30438121
GCF_027571095.1 SAMN30438120
GCF_027571075.1 SAMN30438115
GCF_027571055.1 SAMN30438109
GCF_027571035.1 SAMN30438128
GCF_027571015.1 SAMN30438127
GCF_027570995.1 SAMN30438124
GCF_027570975.1 SAMN30438141
GCF_027570955.1 SAMN30438140
GCF_027570935.1 SAMN30438136
GCF_027570915.1 SAMN30438138
GCF_027570895.1 SAMN30438122
GCF_027570875.1 SAMN30438119
GCF_027570855.1 SAMN30438118
GCF_027570835.1 SAMN30438117
GCF_027570815.1 SAMN30438114
GCF_027570795.1 SAMN30438111
GCF_027570775.1 SAMN30438110
GCF_027570755.1 SAMN30438108
GCF_027570735.1 SAMN30438107
GCF_027570715.1 SAMN30438105
GCF_027570675.1 SAMN30438104
GCF_027570655.1 SAMN30438102
GCF_027570635.1 SAMN30438101
GCF_027570615.1 SAMN30438100
GCF_027570595.1 SAMN30438099
GCF_027570575.1 SAMN30438098
GCF_027570555.1 SAMN30438097
GCF_027570535.1 SAMN30438096
GCF_027570515.1 SAMN30438093
GCF_027570495.1 SAMN30438091
GCF_027570475.1 SAMN30438089
GCF_027570455.1 SAMN30438094
GCF_027570435.1 SAMN30438092
GCF_027570415.1 SAMN30438087
GCF_027359235.1 SAMN32299599
GCF_027171385.1 SAMN32216000
GCF_026870135.1 SAMN32079354
GCF_026727755.1 SAMN28336045
GCF_026727735.1 SAMN28336044
GCF_026727715.1 SAMN28336042
GCF_026727695.1 SAMN28336043
GCF_026636195.1 SAMN31815323
GCF_026636135.1 SAMN31867617
GCF_026625905.1 SAMN31815321
GCF_024652945.3 SAMN30160590
GCF_025985465.1 SAMN11022112
GCF_025908315.1 SAMN31018892
GCA_025792675.1 SAMN21354818
GCA_025792655.1 SAMN21354772
GCA_025792635.1 SAMN21354771
GCA_025792615.1 SAMN21354769
GCA_025792595.1 SAMN21354768
GCA_025792575.1 SAMN21354767
GCA_025792555.1 SAMN21354766
GCA_025792535.1 SAMN21354764
GCA_025792515.1 SAMN21354763
GCF_025790885.1 SAMN14792039
GCA_025736975.1 SAMN24562916
GCA_025736955.1 SAMN24562915
GCF_025723085.1 SAMN22773561
GCF_025452135.1 SAMN30711086
GCF_025398835.1 SAMN30863685
GCF_025398135.1 SAMN30820558
GCF_025398115.1 SAMN30820551
GCF_025398095.1 SAMN30820550
GCF_025398075.1 SAMN30819582
GCF_025263705.1 SAMN26417650
GCF_025263605.1 SAMN20244498
GCF_025263585.1 SAMN20178252
GCF_025244965.1 SAMN30723102
GCF_025200845.1 SAMN28908268
GCF_025079255.1 SAMN27687876
GCF_025021745.1 SAMN22234621
GCF_025021565.1 SAMN20168915
GCF_024972855.1 SAMN29843201
GCF_024803805.1 SAMN27066003
GCF_024760445.1 SAMN30369410
GCF_024734815.1 SAMN30333620
GCF_024734795.1 SAMN30333621
GCF_024584495.1 SAMN30074508
GCF_022213165.2 SAMN25688706
GCF_024507955.1 SAMN29939566
GCF_024507915.1 SAMN29939564
GCF_024397355.1 SAMN29762331
GCF_024300845.1 SAMN27119722
GCF_024266935.1 SAMN28550875
GCF_024266915.1 SAMN28550649
GCF_024266805.1 SAMN29513587
GCF_024126355.1 SAMN27739534
GCF_024126335.1 SAMN27739533
GCF_024089395.1 SAMN27737212
GCF_024089375.1 SAMN27737213
GCF_023822305.1 SAMN25582457
GCF_023612335.1 SAMN16675406
GCF_023571485.1 SAMN28553478
GCF_023520735.1 SAMN28206123
GCF_023380065.1 SAMN28180381
GCF_023272755.1 SAMN27926083
GCF_023101305.1 SAMN27554288
GCF_023101285.1 SAMN27554289
GCF_023101265.1 SAMN27554290
GCF_023093975.1 SAMN27570673
GCF_023093935.1 SAMN27570671
GCF_023066865.1 SAMN24579861
GCF_023066845.1 SAMN24579862
GCF_023066825.1 SAMN24579863
GCF_022870565.1 SAMN14352264
GCF_022870545.1 SAMN14352263
GCF_022870525.1 SAMN14352261
GCF_022870025.1 SAMN14078799
GCF_022811805.1 SAMN16443709
GCF_022811065.1 SAMN16443701
GCF_022811045.1 SAMN16443700
GCF_022811025.1 SAMN16443703
GCF_022811005.1 SAMN16443704
GCF_022810985.1 SAMN16443702
GCF_022810965.1 SAMN16443706
GCF_022810945.1 SAMN16443705
GCF_022810925.1 SAMN16443707
GCF_022810905.1 SAMN16443708
GCF_022810885.1 SAMN16443710
GCF_022810865.1 SAMN16443711
GCF_022810825.1 SAMN13781155
GCF_021166295.1 SAMN23605135
GCF_022700635.1 SAMN15963197
GCF_022699525.1 SAMN26741403
GCF_022699505.1 SAMN26741367
GCF_022699485.1 SAMN26741374
GCF_021166275.2 SAMN23605136
GCF_021166255.2 SAMN23605137
GCF_021166335.2 SAMN23605133
GCF_021166315.2 SAMN23605134
GCF_021166355.2 SAMN23605132
GCF_019738995.2 SAMN20703519
GCF_021166375.2 SAMN23605131
GCF_022670795.1 SAMN26650298
GCF_022649245.1 SAMN26565253
GCF_022649105.1 SAMN26565087
GCF_022638175.1 SAMN26565131
GCF_022638055.1 SAMN26565086
GCF_022637915.1 SAMN26564916
GCF_022570475.1 SAMN26226212
GCF_022570455.1 SAMN26226213
GCF_022570435.1 SAMN26226214
GCF_022570415.1 SAMN26226215
GCF_022570235.1 SAMN26226217
GCF_022570115.1 SAMN26226218
GCF_022569995.1 SAMN26226219
GCF_022569975.1 SAMN26226220
GCF_022569935.1 SAMN26226224
GCF_022569915.1 SAMN26226225
GCF_022569895.1 SAMN26226226
GCF_022569855.1 SAMN26226229
GCF_022559545.1 SAMN20458429
GCF_022453825.1 SAMN26196856
GCF_022453765.1 SAMN26182822
GCF_021513675.1 SAMN13234651
GCF_021513635.1 SAMN13234648
GCF_021513615.1 SAMN13234649
GCF_021513595.1 SAMN13234650
GCF_021513575.1 SAMN13234652
GCF_021513555.1 SAMN13234659
GCF_021513535.1 SAMN13234660
GCF_021513515.1 SAMN13234658
GCF_021513495.1 SAMN13234661
GCF_021513475.1 SAMN13234654
GCF_021513455.1 SAMN13234655
GCF_021513435.1 SAMN13234662
GCF_021513415.1 SAMN13234653
GCF_021513395.1 SAMN13234656
GCF_021513375.1 SAMN13234657
GCF_021513295.1 SAMN17318937
GCF_021497445.1 SAMN15196027
GCF_021497425.1 SAMN15196026
GCF_021497405.1 SAMN15196025
GCF_021497385.1 SAMN15196021
GCF_021497365.1 SAMN15195944
GCF_021497345.1 SAMN15195943
GCF_021497325.1 SAMN15195942
GCF_021497305.1 SAMN15195814
GCF_021497285.1 SAMN15195796
GCF_021460035.1 SAMN22108528
GCF_021184265.1 SAMN23672582
GCF_021184245.1 SAMN23672503
GCF_021398755.1 SAMN24425653
GCF_021378395.1 SAMN14750015
GCF_021266605.1 SAMN24059709
GCF_021249245.1 SAMN23553085
GCF_020990485.1 SAMN23245698
GCF_020990465.1 SAMN23245687
GCF_020990445.1 SAMN23245613
GCF_020978345.1 SAMN20425746
GCF_018598285.3 SAMN19287564
GCF_020771755.1 SAMN22573148
GCF_020771675.1 SAMN22573149
GCF_006704595.2 SAMN12162657
GCF_019915485.1 SAMN20982452
GCF_019915465.1 SAMN20982450
GCF_019915445.1 SAMN20982451
GCF_019857645.1 SAMN19950563
GCF_019857625.1 SAMN19950564
GCF_019857605.1 SAMN19950565
GCF_019857585.1 SAMN19950566
GCF_019857565.1 SAMN19950567
GCF_019857545.1 SAMN19950568
GCF_019857525.1 SAMN19950569
GCF_019857505.1 SAMN19950570
GCF_019857485.1 SAMN19950571
GCF_019857465.1 SAMN19950572
GCF_019857445.1 SAMN19950573
GCF_019857425.1 SAMN19950574
GCF_019857405.1 SAMN19950575
GCF_019857365.1 SAMN16656072
GCF_019857345.1 SAMN16656073
GCF_019857325.1 SAMN16656074
GCF_019857305.1 SAMN16656076
GCF_019857285.1 SAMN16656075
GCF_019857265.1 SAMN16656077
GCF_019857245.1 SAMN16656078
GCF_019720875.1 SAMN20821254
GCF_019720855.1 SAMN20822586
GCF_019711215.1 SAMN20692924
GCF_019710495.1 SAMN20702951
GCF_019466145.1 SAMN19429924
GCF_019466095.1 SAMN20519545
GCF_019443665.1 SAMN16982406
