#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000004554.3|SAMEA1705928|GCA_000009485.1|Burkholderia cenocepacia J2315|||Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000009485.1	Complete Genome	3217062	8055782	4	NULL	Generic	PRJNA339	Sanger Institute	SAMEA1705928	"000793_GCAT-20090507","ERS000064"	NULL	1989	NULL	10288	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Burkholderia cenocepacia J2315	NULL	NULL	95486	NULL	NULL	NULL	NULL	NULL	PDT000004554.3	2010-05-12	216591	NULL	NULL	NULL	NULL	NULL	0	0	0	0	7	7	NULL	"ampC=HMM,ant(3'')=HMM,aph(3')-II=HMM,arr=HMM,bla=HMM,blaOXA,blaPEN-B"	"ampC=HMM,ant(3'')=HMM,aph(3')-II=HMM,arr=HMM,bla=HMM,blaOXA,blaPEN-B"	1	"dpsA"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000004603.3|SAMD00060926|GCA_000010545.1|Burkholderia multivorans ATCC 17616||ATCC 17616|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000010545.1	Complete Genome	2473162	7008810	4	NULL	Generic	PRJDA19401	Tohoku University	SAMD00060926	"AP009385-AP009388","ATCC 17616"	NULL	NULL	NULL	11348	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Burkholderia multivorans ATCC 17616	NULL	NULL	87883	NULL	NULL	ATCC 17616	NULL	NULL	PDT000004603.3	2010-05-12	395019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	3	NULL	"abaF,ampC=HMM,bla=HMM,blaPEN-A1"	"ampC=HMM,bla=HMM,blaPEN-A1"	8	"arsD=HMM,arsN2=HMM,hdeD-GI,merP=HMM,shsP=PARTIAL,trxLHR,yfdX1,yfdX2"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000004693.3|SAMN02598262|GCA_000012945.1|Burkholderia lata||383|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000012945.1	Complete Genome	3587082	8676277	3	NULL	Generic	PRJNA10695	DOE Joint Genome Institute	SAMN02598262	"383","CP000152"	NULL	NULL	NULL	13748	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000152	Burkholderia lata	NULL	NULL	482957	NULL	NULL	383	NULL	NULL	PDT000004693.3	2010-05-12	482957	NULL	NULL	NULL	NULL	NULL	0	0	0	0	8	8	NULL	"ampC=HMM,ant(3'')=HMM,aph(3')=HMM,bla=HMM,blaOXA=HMM,blaPEN-bcc=HMM,cml=HMM,tet=HMM"	"ampC=HMM,ant(3'')=HMM,aph(3')=HMM,bla=HMM,blaOXA=HMM,blaPEN-bcc=HMM,cml=HMM,tet=HMM"	1	"arsN2=HMM"	0	NULL	3.11.2	2023-04-17.1	COMBINED	1
PDT000004939.3|SAMN00623032|GCA_000018505.1|Burkholderia multivorans ATCC 17616||ATCC 17616|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000018505.1	Complete Genome	2472928	7008622	4	NULL	Generic	PRJNA17407	US DOE Joint Genome Institute	SAMN00623032	"ATCC 17616","SRS211700","Sample FBFF"	NULL	NULL	NULL	19308	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Burkholderia multivorans ATCC 17616	NULL	NULL	87883	NULL	NULL	ATCC 17616	NULL	NULL	PDT000004939.3	2010-05-12	395019	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	3	NULL	"abaF,ampC=HMM,bla=HMM,blaPEN-A1"	"ampC=HMM,bla=HMM,blaPEN-A1"	8	"arsD=HMM,arsN2=HMM,hdeD-GI,merP=HMM,shsP=PARTIAL,trxLHR,yfdX1,yfdX2"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000004986.3|SAMN02598404|GCA_000019505.1|Burkholderia orbicola MC0-3||MC0-3|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000019505.1	Complete Genome	3213911	7971389	3	NULL	Generic	PRJNA17929	US DOE Joint Genome Institute	SAMN02598404	"CP000960","MC0-3"	NULL	NULL	NULL	20308	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000960	Burkholderia orbicola MC0-3	NULL	NULL	2978683	NULL	NULL	MC0-3	NULL	NULL	PDT000004986.3	2010-05-12	406425	NULL	NULL	NULL	NULL	NULL	0	0	0	0	7	7	NULL	"ampC=HMM,arr=HMM,bla=HMM,blaOXA=HMM,blaPEN-B,cml=HMM,tet=HMM"	"ampC=HMM,arr=HMM,bla=HMM,blaOXA=HMM,blaPEN-B,cml=HMM,tet=HMM"	1	"dpsA"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000005005.3|SAMN02598385|GCA_000019925.1|Burkholderia ambifaria MC40-6||MC40-6|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000019925.1	Complete Genome	2769414	7642536	4	NULL	Generic	PRJNA17411	US DOE Joint Genome Institute	SAMN02598385	"CP001025","MC40-6"	NULL	NULL	NULL	20728	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP001025	Burkholderia ambifaria MC40-6	NULL	NULL	152480	NULL	NULL	MC40-6	NULL	NULL	PDT000005005.3	2010-05-12	398577	NULL	NULL	NULL	NULL	NULL	0	0	0	0	5	4	NULL	"abaF,ampC=HMM,bla=HMM,blaPEN-F,tet=HMM"	"ampC=HMM,bla=HMM,blaPEN-F,tet=HMM"	1	"dpsA"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000005413.3|SAMN02595213|GCA_000152585.1|Burkholderia dolosa AU0158||AUO158|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000152585.1	Scaffold	50165	6420400	233	NULL	Generic	PRJNA16168	Broad Institute	SAMN02595213	"AAKY","AUO158"	NULL	NULL	NULL	176158	NULL	NULL	NULL	NULL	NULL	NULL	NULL	AAKY	Burkholderia dolosa AU0158	NULL	NULL	152500	NULL	NULL	AUO158	NULL	NULL	PDT000005413.3	2010-10-15	350701	AAKY	AAKY00000000.1	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	NULL	1	"dpsA"	0	NULL	3.10.42	2022-10-11.2	NUCLEOTIDE	1
PDT000006029.3|SAMN02470672|GCA_000170335.1|Burkholderia ubonensis Bu||Bu|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000170335.1	Contig	12649	6932532	1143	NULL	Generic	PRJNA19539	NMRC	SAMN02470672	"ABBE","Bu"	NULL	NULL	NULL	209078	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ABBE	Burkholderia ubonensis Bu	NULL	NULL	101571	NULL	NULL	Bu	NULL	NULL	PDT000006029.3	2010-11-18	441166	ABBE	ABBE00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"ampC=HMM,bla=HMM,blaOXA=HMM,blaPEN-bcc=HMM"	"ampC=HMM,bla=HMM,blaOXA=HMM,blaPEN-bcc=HMM"	0	NULL	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000006382.3|SAMN00000046|GCA_000181975.1|Burkholderia ambifaria IOP40-10||IOP40-10|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000181975.1	Contig	24355	7689995	629	NULL	Generic	PRJNA20669	US DOE Joint Genome Institute (JGI-PGF)	SAMN00000046	"FOAZ_sample","IOP40-10","SRS000232"	NULL	NULL	NULL	230118	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Burkholderia ambifaria IOP40-10	NULL	NULL	152480	NULL	NULL	IOP40-10	NULL	NULL	PDT000006382.3	2010-11-19	396596	ABLC	ABLC00000000.1	NULL	NULL	NULL	0	0	0	0	5	4	NULL	"abaF,ampC=HMM,bla=HMM,blaPEN-F,tet=HMM"	"ampC=HMM,bla=HMM,blaPEN-F,tet=HMM"	1	"dpsA"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000006384.3|SAMN00000044|GCA_000182015.1|Burkholderia ambifaria MEX-5||MEX-5|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000182015.1	Contig	20649	7855467	706	NULL	Generic	PRJNA20667	US DOE Joint Genome Institute (JGI-PGF)	SAMN00000044	"FNSN_sample","MEX-5","SRS000230"	NULL	NULL	NULL	230198	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Burkholderia ambifaria MEX-5	NULL	NULL	152480	NULL	NULL	MEX-5	NULL	NULL	PDT000006384.3	2010-11-19	396597	ABLK	ABLK00000000.1	NULL	NULL	NULL	0	0	0	0	5	4	NULL	"abaF,ampC=HMM,bla=HMM,blaPEN-F,tet=HMM"	"ampC=HMM,bla=HMM,blaPEN-F,tet=HMM"	2	"arsN2=HMM,dpsA"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
