Serratia | número de entradas: 241 | date: 2023-05-03 10:46:20.497985
GCF_029873435.1 SAMN34233929
GCF_029873375.1 SAMN34233932
GCF_019295365.2 SAMN17103453
GCF_029025665.1 SAMN33434791
GCF_028994195.1 SAMN33404193
GCF_028736255.1 SAMN33238824
GCF_027557545.1 SAMN31452408
GCA_027474885.1 SAMN29272740
GCA_946410575.1 SAMEA13201039
GCA_946404965.1 SAMEA13201030
GCA_946407335.1 SAMEA13201029
GCA_946411905.1 SAMEA13201026
GCA_946406125.1 SAMEA13201022
GCA_946411625.1 SAMEA13201021
GCA_946413195.1 SAMEA13201019
GCA_946415285.1 SAMEA13201017
GCA_946406635.1 SAMEA13201015
GCA_946404695.1 SAMEA13201014
GCA_946414065.1 SAMEA13201013
GCA_946406225.1 SAMEA13201012
GCA_946406265.1 SAMEA13201010
GCA_905233025.2 SAMEA7962811
GCA_905232415.2 SAMEA7962736
GCA_905232465.2 SAMEA7962735
GCA_905232425.2 SAMEA7962734
GCF_025960205.1 SAMN31424710
GCA_025913715.1 SAMN31283566
GCF_025913695.1 SAMN31283467
GCA_946409225.1 SAMEA13201007
GCA_946413735.1 SAMEA13201000
GCF_013284015.3 SAMN14258346
GCF_024638015.1 SAMN28689428
GCF_024296805.1 SAMN29532703
GCF_024296785.1 SAMN29532317
GCF_024266665.1 SAMN29532084
GCF_024086695.1 SAMN18917024
GCF_024029875.1 SAMN28197095
GCA_023920945.1 SAMN29048675
GCA_905330515.2 SAMEA8065742
GCA_905330555.2 SAMEA8065745
GCA_905330265.2 SAMEA8065715
GCA_905330385.2 SAMEA8065730
GCF_022870585.1 SAMN15375773
GCF_022827865.1 SAMN19911184
GCF_022637355.1 SAMN26520714
GCF_022559505.1 SAMN16287482
GCF_022439585.1 SAMN23485804
GCF_022439565.1 SAMN23485811
GCF_022439525.1 SAMN23485809
GCF_022439505.1 SAMN23485796
GCF_022439485.1 SAMN23485807
GCF_022404795.1 SAMN15666260
GCF_022343985.1 SAMN25876440
GCF_022343225.1 SAMN21499615
GCF_021952645.1 SAMN22551389
GCF_021498305.1 SAMN12405229
GCF_021498245.1 SAMN12405232
GCF_021498225.1 SAMN12405233
GCF_021496115.1 SAMN24852073
GCF_021462285.1 SAMN19031985
GCF_021398895.1 SAMN24372403
GCF_021391415.1 SAMN23644637
GCA_020886895.1 SAMD00389786
GCF_010119335.3 SAMN13155787
GCF_019974075.1 SAMD00391659
GCF_019968845.1 SAMN18917001
GCF_019968745.1 SAMN18917005
GCF_019968725.1 SAMN18917006
GCF_019968705.1 SAMN18917007
GCF_019968685.1 SAMN18917008
GCF_019344315.1 SAMN16456043
GCF_019252525.1 SAMN18592158
GCF_018966825.1 SAMN19678575
GCF_018336935.1 SAMN17369469
GCF_009831665.3 SAMN13545458
GCF_017654245.1 SAMN18473280
GCF_017309605.1 SAMN18104335
GCF_017301315.1 SAMEA7301478
GCF_017301295.1 SAMEA7301479
GCF_017301275.1 SAMEA7301482
GCF_017301255.1 SAMEA7301490
GCF_017299575.1 SAMEA7301480
GCF_017299535.1 SAMEA7301481
GCF_017299435.1 SAMEA7301483
GCF_017299315.1 SAMEA7301485
GCF_017299275.1 SAMEA7301484
GCF_017299175.1 SAMEA7301486
GCF_017299035.1 SAMEA7301487
GCF_017299015.1 SAMEA7301488
GCF_017298995.1 SAMEA7301489
GCF_017298975.1 SAMEA7301491
GCF_017298955.1 SAMEA7301492
GCF_017298935.1 SAMEA7301493
GCF_017298915.1 SAMEA7301494
GCF_017298895.1 SAMEA7301495
GCF_017298875.1 SAMEA7301496
GCF_017298855.1 SAMEA7301497
GCF_017298835.1 SAMEA7301498
GCF_017298815.1 SAMEA7301499
GCF_017298795.1 SAMEA7301500
GCF_017298775.1 SAMEA7301501
GCF_017298755.1 SAMEA7301502
GCF_017298735.1 SAMEA7301504
GCF_017298715.1 SAMEA7301503
GCF_017298695.1 SAMEA7301505
GCF_017298675.1 SAMEA7301506
GCF_015689115.1 SAMN16704389
GCF_905188235.1 SAMEA7322502
GCF_016728045.1 SAMN16357258
GCF_016728005.1 SAMN16357250
GCF_016726325.1 SAMN16357307
GCF_016028475.1 SAMN13450410
GCF_016027835.1 SAMN13450419
GCF_016027675.1 SAMN13450425
GCF_016027595.1 SAMN13450426
GCF_016027115.1 SAMN13450437
GCF_016026735.1 SAMN13450456
GCF_015708655.1 SAMN15078591
GCF_904866365.1 SAMEA3357389
GCF_015160915.1 SAMN16268784
GCF_015074945.1 SAMN14835601
GCF_014495865.1 SAMN15934672
GCF_014304635.1 SAMN15735260
GCF_000821185.2 SAMEA2581874
GCF_013426155.1 SAMN14998449
GCF_013426135.1 SAMN14999148
GCF_013377375.1 SAMN11633367
GCF_013367735.1 SAMN15196985
GCF_008364265.2 SAMN12560215
GCA_013256815.1 SAMN15009256
GCF_013122215.1 SAMN14852675
GCF_013122155.1 SAMN14859508
GCF_013112395.1 SAMN14863985
GCF_011769885.1 SAMN14265996
GCF_011691375.1 SAMN14353910
GCF_011602465.1 SAMN14360500
GCF_008364325.2 SAMN12560213
GCA_003074975.2 SAMN08605002
GCF_009936295.1 SAMD00191436
GCF_009909425.1 SAMN13840994
GCF_009909405.1 SAMN13840996
GCF_009909385.1 SAMN13840995
GCF_009909365.1 SAMN13840997
GCF_009909345.1 SAMN13840998
GCA_009905295.1 SAMN13818260
GCF_009858195.1 SAMN13676638
GCF_009834305.1 SAMN10393815
GCF_009817885.1 SAMN12318923
GCF_009660185.1 SAMN13182600
GCF_008931425.1 SAMN12289419
GCF_008370165.1 SAMD00160567
GCF_006974205.1 SAMN11958783
GCF_006970665.1 SAMN10413339
GCF_006842785.1 SAMN11461877
GCF_006716825.1 SAMN11894228
GCF_006716725.1 SAMN11894227
GCF_006711525.1 SAMN11894226
GCF_006711405.1 SAMN11894225
GCF_006711245.1 SAMN11894224
GCF_006711145.1 SAMN11894223
GCF_006711125.1 SAMN11894222
GCF_901472405.1 SAMEA2580318
GCF_005489985.1 SAMN11605912
GCF_004768745.1 SAMN11312277
GCF_004684265.1 SAMN11289602
GCF_003967055.1 SAMD00143521
GCF_900638145.1 SAMEA104200686
GCF_900638135.1 SAMEA104200687
GCF_900638005.1 SAMEA80460418
GCF_900637965.1 SAMEA101169418
GCF_900635665.1 SAMEA2689772
GCF_900635625.1 SAMEA2689766
GCF_900635445.1 SAMEA2612492
GCF_003812745.1 SAMN10163200
