#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000388977.2|SAMN09845205|GCA_003594915.1|Enterobacter chuandaensis||090028|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003594915.1	Contig	324936	4634324	38	Unicycler v. 0.4.6	Microbe	PRJNA415108	West China Hospital, Sichuan University	SAMN09845205	"090028","SRS3689794","The Microbe sample of Enterobacter sp. strain WCHEn090028"	NULL	2017	clinical	7496798	China: Chengdu, Sichuan	Homo sapiens	NULL	NULL	NULL	NULL	NULL	The Microbe sample of Enterobacter sp. strain WCHEn090028	Enterobacter chuandaensis	NULL	NULL	2497875	NULL	NULL	090028	NULL	NULL	PDT000388977.2	2018-09-25	2497875	QZCS	QZCS00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaACT,catA=HMM,oqxB"	"blaACT,catA=HMM,oqxB"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.10.21	2021-12-21.1	COMBINED	1
PDT001080694.2|SAMN18736282|GCA_019090085.1|Enterobacter chuandaensis||16i|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_019090085.1	Contig	677847	5010064	111	SPAdes v. 3.12.0	MIGS Cultured Bacterial/Archaeal	PRJNA721689	Texas A&M university	SAMN18736282	"16i","Enterobacter cloacae strain 16i","SRS8747994"	NULL	2015-07	NULL	27650668	USA: TX, El Paso	NULL	NULL	NULL	31.4832 N 106.2717 W	NULL	NULL	Enterobacter cloacae strain 16i	Enterobacter chuandaensis	NULL	NULL	2497875	NULL	NULL	16i	NULL	NULL	PDT001080694.2	2021-07-01	2497875	JAGQFO	JAGQFO000000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaACT,catA=HMM,oqxB"	"blaACT,catA=HMM,oqxB"	4	"arsC=HMM,asr=HMM,fieF,silA"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT001093109.2|SAMN17833487|GCA_019273075.1|Enterobacter chuandaensis||Colony256|Pathogen: environmental/food/other	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_019273075.1	Chromosome	5782	4748641	1674	idba_ud v. V1.1.3	Pathogen: environmental/food/other	PRJNA668870	Ministry of Public Health-Thailand	SAMN17833487	"Colony256"	Department of Disease Control, Ministry of Public Health	missing	environmental/other	27920818	Thailand: Nakhon Sawan	NULL	NULL	food	NULL	NULL	NULL	Colony256	Enterobacter chuandaensis	NULL	NULL	2497875	NULL	NULL	Colony256	NULL	NULL	PDT001093109.2	2021-07-19	2497875	NULL	NULL	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaACT=PARTIAL,fosA,oqxB"	"blaACT=PARTIAL,fosA,oqxB"	3	"arsC=HMM,asr=HMM,fieF"	0	NULL	3.10.36	2022-05-26.1	COMBINED	1
PDT001099596.2|SAMN17833483|GCA_019394435.1|Enterobacter chuandaensis||Colony355|Pathogen: environmental/food/other	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_019394435.1	Chromosome	5299	4748641	1658	idba_ud v. V1.1.3	Pathogen: environmental/food/other	PRJNA668870	Ministry of Public Health-Thailand	SAMN17833483	"Colony355"	Department of Disease Control, Ministry of Public Health	missing	environmental/other	28095018	Thailand: Songkhla	NULL	NULL	food	NULL	NULL	NULL	Colony355	Enterobacter chuandaensis	NULL	NULL	2497875	NULL	NULL	Colony355	NULL	NULL	PDT001099596.2	2021-07-29	2497875	NULL	NULL	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaACT,fosA,oqxB"	"blaACT,fosA,oqxB"	3	"arsC=HMM,asr=HMM,fieF"	0	NULL	3.10.36	2022-08-09.1	COMBINED	1
PDT001337006.2|SAMN28189547|GCA_023751765.1|Enterobacter chuandaensis||C210219|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_023751765.1	Scaffold	600594	4921051	39	SPAdes v. 3.15.1	Microbe	PRJNA837096	The Second Affiliated Hospital Zhejiang University School of Medicine	SAMN28189547	"C210219"	NULL	2021	clinical	33925888	China: Zhejiang	Homo sapiens	NULL	NULL	NULL	NULL	NULL	C210219	Enterobacter chuandaensis	NULL	NULL	2497875	NULL	NULL	C210219	NULL	NULL	PDT001337006.2	2022-06-16	2497875	JAMGKO	JAMGKO000000000.1	NULL	NULL	NULL	0	0	0	0	13	13	NULL	"aph(3'')-Ib,aph(6)-Id,blaACT,blaLAP-2,blaTEM-1,catA=HMM,catA2,dfrA14,fosA,oqxB,qnrS1,sul2,tet(A)"	"aph(3'')-Ib,aph(6)-Id,blaACT,blaLAP-2,blaTEM-1,catA=HMM,catA2,dfrA14,fosA,oqxB,qnrS1,sul2,tet(A)"	17	"arsC=HMM,asr=HMM,fieF,pcoA,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT001471713.1|SAMD00548658||Enterobacter chuandaensis|||Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	DRR412853	NULL	NULL	134105	4977711	73	NULL	Pathogen: clinical or host-associated	PRJDB14464	Laboratory of Veterinary Hygiene  School/Faculty of Veterinary Medicine, Hokkaido University	SAMD00548658	"DRS259885","SMEnt749"	clinically	2017	clinical	NULL	Japan:Sapporo	Homo sapiens	NULL	other	NULL	NULL	NULL	NULL	Enterobacter chuandaensis	NULL	NULL	2497875	HOKUDAI	2022-10-17	NULL	NULL	NULL	PDT001471713.1	2022-10-31	2497875	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,fosA,oqxA,oqxB"	"blaACT,fosA,oqxA,oqxB"	2	"fieF,silA"	0	NULL	3.11.2	2023-02-23.1	NUCLEOTIDE	1
PDT001471714.1|SAMD00548659||Enterobacter chuandaensis|||Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	DRR412854	NULL	NULL	190970	4953423	53	NULL	Pathogen: clinical or host-associated	PRJDB14464	Laboratory of Veterinary Hygiene  School/Faculty of Veterinary Medicine, Hokkaido University	SAMD00548659	"DRS259886","SMEnt343"	clinically	2017	clinical	NULL	Japan:Sapporo	Homo sapiens	urinary tract	urine	NULL	NULL	NULL	NULL	Enterobacter chuandaensis	NULL	NULL	2497875	HOKUDAI	2022-10-17	NULL	NULL	NULL	PDT001471714.1	2022-10-31	2497875	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,fosA,oqxA,oqxB"	"blaACT,fosA,oqxA,oqxB"	1	"fieF"	0	NULL	3.10.42	2022-10-11.2	NUCLEOTIDE	1
PDT001471715.1|SAMD00548660||Enterobacter chuandaensis|||Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	DRR412855	NULL	NULL	142354	5414550	70	NULL	Pathogen: clinical or host-associated	PRJDB14464	Laboratory of Veterinary Hygiene  School/Faculty of Veterinary Medicine, Hokkaido University	SAMD00548660	"DRS259887","SMEnt364"	clinically	2017	clinical	NULL	Japan:Sapporo	Homo sapiens	respiratory tract	respiratory	NULL	NULL	NULL	NULL	Enterobacter chuandaensis	NULL	NULL	2497875	HOKUDAI	2022-10-17	NULL	NULL	NULL	PDT001471715.1	2022-10-31	2497875	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,fosA,oqxA,oqxB"	"blaACT,fosA,oqxA,oqxB"	1	"fieF"	0	NULL	3.10.42	2022-10-11.2	NUCLEOTIDE	1
PDT001471716.1|SAMD00548661||Enterobacter chuandaensis|||Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	DRR412856	NULL	NULL	150460	4786406	71	NULL	Pathogen: clinical or host-associated	PRJDB14464	Laboratory of Veterinary Hygiene  School/Faculty of Veterinary Medicine, Hokkaido University	SAMD00548661	"DRS259888","SMEnt384"	clinically	2017	clinical	NULL	Japan:Sapporo	Homo sapiens	oral cavity	other	NULL	NULL	NULL	NULL	Enterobacter chuandaensis	NULL	NULL	2497875	HOKUDAI	2022-10-17	NULL	NULL	NULL	PDT001471716.1	2022-10-31	2497875	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,fosA,oqxA,oqxB"	"blaACT,fosA,oqxA,oqxB"	1	"fieF"	0	NULL	3.11.2	2023-02-23.1	NUCLEOTIDE	1
PDT001471717.1|SAMD00548662||Enterobacter chuandaensis|||Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	DRR412857	NULL	NULL	181373	4842240	61	NULL	Pathogen: clinical or host-associated	PRJDB14464	Laboratory of Veterinary Hygiene  School/Faculty of Veterinary Medicine, Hokkaido University	SAMD00548662	"DRS259889","SMEnt1003"	clinically	2018	clinical	NULL	Japan:Sapporo	Homo sapiens	respiratory tract	respiratory	NULL	NULL	NULL	NULL	Enterobacter chuandaensis	NULL	NULL	2497875	HOKUDAI	2022-10-17	NULL	NULL	NULL	PDT001471717.1	2022-10-31	2497875	NULL	NULL	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,fosA,oqxA,oqxB"	"blaACT,fosA,oqxA,oqxB"	1	"fieF"	0	NULL	3.10.42	2022-10-11.2	NUCLEOTIDE	1
