#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000020290.2|SAMN02597271|GCA_000515295.1|Enterobacter bugandensis||IIT-BT 08|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000515295.1	Scaffold	684965	4672040	13	Velvet v. 1.1.05; ALLPATHS v. R39750; Phrap v. 4.24	MIGS Cultured Bacterial/Archaeal	PRJNA82637	JGI	SAMN02597271	"AZXO","IIT-BT 08","SRS1573165"	NULL	1999-07	NULL	888238	India	NULL	NULL	NULL	22.041 N 87.183 E	NULL	NULL	AZXO	Enterobacter bugandensis	NULL	NULL	881260	NULL	NULL	IIT-BT 08	NULL	"Enterobacter cloacae IIT-BT 08"	PDT000020290.2	2014-01-07	881260	AZXO	AZXO00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	3	"arsC=HMM,asr=HMM,fieF"	3	"iroB,iroC,iroN"	3.11.2	2023-02-23.1	COMBINED	1
PDT000061710.2|SAMN03283644|GCA_000957065.1|Enterobacter bugandensis||35669|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000957065.1	Contig	220144	4997010	66	SPAdes v. 3.1.1	Pathogen: clinical or host-associated	PRJNA259658	JCVI	SAMN03283644	"35669","GCID_ENTE_00087","SRS856600"	Barry Kreiswirth	2012	clinical	1694758	USA: FL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Enterobacter bugandensis	NULL	NULL	881260	NULL	NULL	35669	NULL	NULL	PDT000061710.2	2015-03-19	881260	JZZB	JZZB00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT-49,catA=HMM,fosA,oqxB"	"blaACT-49,catA=HMM,fosA,oqxB"	21	"arsC=HMM,asr=HMM,fieF,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000061800.2|SAMN03333182|GCA_000958885.1|Enterobacter bugandensis||MNCRE4|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000958885.1	Scaffold	161689	4684725	74	CLC Genomics Workbench v. JUNE-2014	Pathogen: clinical or host-associated	PRJNA272863	University of Minnesota	SAMN03333182	"MNCRE4"	NULL	2009	clinical	1698348	USA: Minnesota	Homo sapiens	Not available	urine	46 N 94 W	NULL	NULL	MNCRE4	Enterobacter bugandensis	NULL	NULL	881260	NULL	NULL	MNCRE4	NULL	NULL	PDT000061800.2	2015-03-20	881260	JZDF	JZDF00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	3	"arsC=HMM,asr=HMM,fieF"	3	"iroB,iroC,iroN"	3.11.2	2022-12-19.1	COMBINED	1
PDT000067141.2|SAMN03732713|GCA_001022595.1|Enterobacter bugandensis||GN02548|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001022595.1	Contig	515913	4911267	32	SPAdes v. 3.1.0	Microbe	PRJNA259658	JCVI	SAMN03732713	"Enterobacter sp Enterobacter sp. GN02548","GN02548","SRS953284"	Vance Fowler	2007-05-01	clinical	1801628	USA	Homo sapiens	NULL	bodily fluid	36 N 78.9 W	NULL	NULL	Enterobacter sp Enterobacter sp. GN02548	Enterobacter bugandensis	NULL	NULL	881260	NULL	NULL	GN02548	NULL	NULL	PDT000067141.2	2015-06-09	881260	LEDQ	LEDQ00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	18	"arsC=HMM,asr=HMM,fieF,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000067173.2|SAMN03732693|GCA_001023305.1|Enterobacter bugandensis||GN02283|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001023305.1	Contig	237461	4796531	39	SPAdes v. 3.1.0	Microbe	PRJNA259658	JCVI	SAMN03732693	"Enterobacter sp Enterobacter sp. GN02283","GN02283","SRS953310"	Vance Fowler	2004-04-01	clinical	1802368	USA	Homo sapiens	NULL	bodily fluid	36 N 78.9 W	NULL	NULL	Enterobacter sp Enterobacter sp. GN02283	Enterobacter bugandensis	NULL	NULL	881260	NULL	NULL	GN02283	NULL	NULL	PDT000067173.2	2015-06-09	881260	LEEJ	LEEJ00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	3	"arsC=HMM,asr=HMM,fieF"	3	"iroB,iroC,iroN"	3.11.2	2023-02-23.1	COMBINED	1
PDT000070228.2|SAMN03197343|GCA_001054435.1|Enterobacter bugandensis||153_ECLO|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001054435.1	Scaffold	149136	4701120	52	ABYSS v. 1.3.5	Pathogen: clinical or host-associated	PRJNA267549	University of Washington	SAMN03197343	"153_ECLO","SRS746551"	UW clinical laboratory	NULL	clinical	1866818	USA: WA	Homo sapiens	NULL	NULL	NULL	NULL	NULL	153_ECLO	Enterobacter bugandensis	NULL	NULL	881260	NULL	NULL	153_ECLO	NULL	NULL	PDT000070228.2	2015-07-10	881260	JVSD	JVSD00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	3	"arsC=HMM,asr=HMM,fieF"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000070232.2|SAMN03197362|GCA_001054505.1|Enterobacter bugandensis||171_ECLO|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001054505.1	Scaffold	143393	4788973	72	ABYSS v. 1.3.5	Pathogen: clinical or host-associated	PRJNA267549	University of Washington	SAMN03197362	"171_ECLO","SRS746570"	UW clinical laboratory	NULL	clinical	1866898	USA: WA	Homo sapiens	NULL	NULL	NULL	NULL	NULL	171_ECLO	Enterobacter bugandensis	NULL	NULL	881260	NULL	NULL	171_ECLO	NULL	NULL	PDT000070232.2	2015-07-10	881260	JVRK	JVRK00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	3	"arsC=HMM,asr=HMM,fieF"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000070237.2|SAMN03197409|GCA_001054625.1|Enterobacter bugandensis||217_ECLO|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001054625.1	Scaffold	37594	4935450	306	ABYSS v. 1.3.5	Pathogen: clinical or host-associated	PRJNA267549	University of Washington	SAMN03197409	"217_ECLO","SRS746617"	UW clinical laboratory	NULL	clinical	1867018	USA: WA	Homo sapiens	NULL	NULL	NULL	NULL	NULL	217_ECLO	Enterobacter bugandensis	NULL	NULL	881260	NULL	NULL	217_ECLO	NULL	NULL	PDT000070237.2	2015-07-10	881260	JVPP	JVPP00000000.1	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"blaACT,catA=HMM,fosA,oqxA=PARTIAL_END_OF_CONTIG,oqxB"	"blaACT,catA=HMM,fosA,oqxA=PARTIAL_END_OF_CONTIG,oqxB"	3	"arsC=HMM,asr=HMM,fieF"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000070276.2|SAMN03197827|GCA_001055515.1|Enterobacter bugandensis||627_ECLO|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001055515.1	Scaffold	68093	4794382	170	ABYSS v. 1.3.5	Pathogen: clinical or host-associated	PRJNA267549	University of Washington	SAMN03197827	"627_ECLO","SRS747035"	UW clinical laboratory	NULL	clinical	1867898	USA: WA	Homo sapiens	NULL	NULL	NULL	NULL	NULL	627_ECLO	Enterobacter bugandensis	NULL	NULL	881260	NULL	NULL	627_ECLO	NULL	NULL	PDT000070276.2	2015-07-10	881260	JUZN	JUZN00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT-49,catA=HMM,fosA,oqxB"	"blaACT-49,catA=HMM,fosA,oqxB"	3	"arsC=HMM,asr=HMM,fieF"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000070282.2|SAMN03197373|GCA_001055645.1|Enterobacter bugandensis||182_ECLO|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001055645.1	Scaffold	137340	4751599	75	ABYSS v. 1.3.5	Pathogen: clinical or host-associated	PRJNA267549	University of Washington	SAMN03197373	"182_ECLO","SRS746581"	UW clinical laboratory	NULL	clinical	1868028	USA: WA	Homo sapiens	NULL	NULL	NULL	NULL	NULL	182_ECLO	Enterobacter bugandensis	NULL	NULL	881260	NULL	NULL	182_ECLO	NULL	NULL	PDT000070282.2	2015-07-10	881260	JVQZ	JVQZ00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaACT,catA=HMM,fosA,oqxB"	"blaACT,catA=HMM,fosA,oqxB"	3	"arsC=HMM,asr=HMM,fieF"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
