Aeromonas | número de entradas: 268 | date: 2023-05-04 10:38:49.015920
GCF_029854275.1 SAMN34178809
GCF_029773565.1 SAMN33901087
GCF_029773545.1 SAMN33901086
GCF_029773525.1 SAMN33901088
GCF_029773505.1 SAMN33901096
GCF_029773485.1 SAMN33901092
GCF_029773465.1 SAMN33901095
GCF_029773445.1 SAMN33901098
GCF_029773425.1 SAMN33901097
GCF_029773405.1 SAMN33901091
GCF_029773385.1 SAMN33901089
GCF_029773365.1 SAMN33901094
GCF_029773345.1 SAMN33901099
GCF_029773325.1 SAMN33901103
GCF_029773305.1 SAMN33901110
GCF_029773285.1 SAMN33901109
GCF_029773265.1 SAMN33901100
GCF_029773245.1 SAMN33901085
GCF_029773225.1 SAMN33901104
GCF_029773105.1 SAMN33901111
GCF_029773085.1 SAMN33901093
GCF_029773065.1 SAMN33901090
GCF_029773045.1 SAMN33901113
GCF_029773025.1 SAMN33901114
GCF_029773005.1 SAMN33901112
GCF_029633935.1 SAMN24908263
GCA_029623615.1 SAMN33915452
GCF_029590475.1 SAMN33867246
GCF_029541925.1 SAMN25210568
GCF_029320915.1 SAMN33550237
GCF_029025785.1 SAMN33453547
GCF_029025765.1 SAMN33453545
GCF_029025005.1 SAMN33419675
GCF_029024985.1 SAMN33419673
GCF_028994095.1 SAMN33408175
GCF_028884875.1 SAMN33323122
GCF_028751155.1 SAMN10245535
GCF_028736295.1 SAMN33261634
GCF_028736275.1 SAMN33261633
GCF_028621795.1 SAMN33179879
GCF_028358575.1 SAMN31541904
GCF_028356375.1 SAMN31541903
GCF_028356175.1 SAMN31541905
GCF_028355995.1 SAMN31541906
GCF_028355815.1 SAMN31541907
GCF_028355655.1 SAMN31541908
GCF_027947675.1 SAMN32781198
GCF_027947655.1 SAMN32781197
GCF_001643355.2 SAMN04450000
GCF_026651445.1 SAMN30118181
GCF_026651585.1 SAMN30118242
GCF_026651545.1 SAMN30120841
GCF_026651525.1 SAMN30120839
GCF_026651505.1 SAMN30118295
GCF_026651485.1 SAMN30118332
GCF_026651465.1 SAMN30118293
GCA_026651405.1 SAMN30101264
GCF_026651385.1 SAMN30101213
GCF_026651365.1 SAMN30100966
GCF_026651345.1 SAMN30100940
GCA_026651325.1 SAMN30100912
GCA_026651305.1 SAMN30100875
GCF_026016025.1 SAMN31516430
GCF_026000055.1 SAMD00535935
GCF_025665435.1 SAMN28748616
GCF_024971835.1 SAMN20130520
GCF_024583175.1 SAMN30068475
GCF_024583155.1 SAMN30068462
GCF_024508255.1 SAMN30005339
GCF_024347775.1 SAMD00446296
GCF_024347715.1 SAMD00446293
GCF_024347695.1 SAMD00446292
GCF_024218755.1 SAMN29408258
GCF_024112375.1 SAMN29267038
GCF_023921525.1 SAMN18499161
GCF_023921405.1 SAMN18498901
GCF_023920205.1 SAMN24968113
GCF_023823085.1 SAMN21893820
GCF_023100745.1 SAMN27615187
GCF_022982835.1 SAMN27350375
GCF_022921155.1 SAMN20179696
GCF_022869925.1 SAMN14078805
GCF_022759545.1 SAMN26806291
GCF_022703095.1 SAMN13030278
GCF_022700855.1 SAMN13104751
GCF_022700815.1 SAMN13041436
GCF_022700835.1 SAMN13041437
GCF_020172765.2 SAMN21418941
GCF_022631195.1 SAMN26377313
GCF_022631175.1 SAMN26377314
GCF_022557195.1 SAMN26244239
GCF_022343945.1 SAMN25872065
GCF_021654375.1 SAMD00424815
GCF_021654355.1 SAMD00424814
GCF_021609985.1 SAMN25038853
GCF_021586915.1 SAMN20667377
GCF_020683025.1 SAMN22480857
GCF_020640975.1 SAMN21168053
GCF_020640955.1 SAMN21168054
GCF_020544445.1 SAMN17038035
GCF_020423125.1 SAMN19237318
GCF_020405385.1 SAMN21168046
GCF_020405365.1 SAMN21168048
GCF_020405345.1 SAMN21168049
GCF_020405325.1 SAMN21168050
GCF_020405305.1 SAMN21168051
GCF_020181575.1 SAMN21545965
GCF_020162255.1 SAMN21540782
GCF_020149575.1 SAMN20256631
GCF_020097315.1 SAMN21218865
GCF_020097295.1 SAMN21218866
GCF_020097175.1 SAMN21402703
GCF_019973835.1 SAMD00294556
GCF_019972775.1 SAMD00294561
GCF_019930825.1 SAMN20888876
GCA_019455365.1 SAMN15963531
GCF_019443825.1 SAMN14351711
GCF_019443805.1 SAMN14325646
GCF_019334425.1 SAMN20179300
GCF_019048745.1 SAMN16357552
GCF_019048725.1 SAMN16357549
GCF_019048705.1 SAMN16357551
GCF_019048665.1 SAMN16357550
GCF_019048585.1 SAMN16357560
GCF_019048565.1 SAMN16357548
GCF_019048365.1 SAMN16357557
GCF_019048265.1 SAMN16357547
GCF_019048085.1 SAMN16357558
GCF_019047325.1 SAMN16357545
GCF_019047125.1 SAMN16357553
GCF_019047085.1 SAMN16357546
GCF_019047065.1 SAMN16357556
GCF_019047045.1 SAMN16357561
GCF_019046985.1 SAMN16357559
GCF_019046925.1 SAMN16357544
GCF_018802385.1 SAMN13926349
GCF_018802365.1 SAMN13926352
GCA_018802345.1 SAMN13926350
GCF_018802325.1 SAMN13926353
GCF_018802305.1 SAMN13926351
GCA_018802265.1 SAMN13926354
GCA_907163065.1 SAMEA8533644
GCF_017310275.1 SAMN15184730
GCF_017310235.1 SAMN15184665
GCF_017310215.1 SAMN13545457
GCF_017310195.1 SAMN13353934
GCA_017280155.1 SAMN18079944
GCF_016865345.1 SAMD00276024
GCF_016861425.1 SAMD00270046
GCF_016126815.2 SAMN17014572
GCF_016728865.1 SAMN16998432
GCF_016653695.1 SAMN17256260
GCF_016598815.1 SAMN17150322
GCF_016592295.1 SAMD00261012
GCF_015508545.1 SAMD00254948
GCF_016127195.1 SAMN16357155
GCF_016026875.1 SAMN13450446
GCF_016026615.1 SAMN13450463
GCF_014892695.1 SAMN11664857
GCF_014883895.1 SAMN02934523
GCF_014872735.1 SAMN14260301
GCF_014679585.1 SAMD00242552
GCA_014218195.1 SAMN12097413
GCA_014217525.1 SAMN12097415
GCF_014217505.1 SAMN12097416
GCF_014217485.1 SAMN12097417
GCF_014169875.1 SAMD00194675
GCF_014169835.1 SAMD00194639
GCF_014169795.1 SAMD00194633
GCF_014169735.1 SAMD00194626
GCF_014169715.1 SAMD00194624
GCF_014169675.1 SAMD00194620
GCF_014169235.1 SAMD00194514
GCF_014168995.1 SAMD00194437
GCF_014168715.1 SAMD00194363
GCF_014168635.1 SAMD00194350
GCF_014168615.1 SAMD00194348
GCF_014162015.1 SAMD00194595
GCF_014161955.1 SAMD00194576
GCF_014161425.1 SAMD00194563
GCF_014158455.1 SAMD00194421
GCF_014109865.1 SAMN12671375
GCF_000464515.2 SAMN02471703
GCA_003294925.2 SAMN08290451
GCF_013488005.1 SAMN13875308
GCF_013487985.1 SAMN13875147
GCF_013487965.1 SAMN13871641
GCF_003294895.2 SAMN08290452
GCF_003294855.2 SAMN08290453
GCF_013415825.1 SAMN15395818
GCF_013085785.1 SAMN11269569
GCF_013085765.1 SAMN11269568
GCF_013085745.1 SAMN11269567
GCF_013085725.1 SAMN11269566
GCF_013085525.1 SAMN11250630
GCF_013085505.1 SAMN11250631
GCF_013085485.1 SAMN11269565
GCA_012933685.1 SAMN13518351
GCF_012931585.1 SAMN14515089
GCF_011602425.1 SAMN14351661
GCF_011045495.1 SAMN10696333
GCF_001643275.2 SAMN04449844
GCF_009931135.1 SAMN13876930
GCF_009858135.1 SAMN13518350
GCF_009858115.1 SAMN13518349
GCF_009834065.1 SAMN13640848
GCF_009791455.1 SAMN13567714
GCF_009755745.1 SAMN11868773
GCF_008693705.1 SAMN11056347
GCF_008370735.1 SAMN11172869
GCF_002850695.3 SAMN07821593
GCF_007179295.1 SAMN11521871
GCF_004919485.1 SAMN11129962
GCF_004684325.1 SAMN11293757
GCF_004684305.1 SAMN11293745
GCF_003925855.2 SAMD00144878
GCF_004296435.1 SAMD00144877
GCF_003999465.1 SAMN08427316
GCF_900637545.1 SAMEA4475689
GCF_003722175.1 SAMN10389897
GCF_003692675.1 SAMN02469939
GCF_002866885.2 SAMN08281233
GCF_003491365.1 SAMN08731619
GCF_003491245.1 SAMN05589911
GCF_003491225.1 SAMN05590109
GCF_900476005.1 SAMEA4475690
GCF_003015165.1 SAMN08721782
GCF_003014775.1 SAMN08715271
GCF_002934795.1 SAMN03455981
GCF_002934425.1 SAMN03455984
GCF_002934285.1 SAMN03455980
GCF_002903485.1 SAMN06040385
GCF_002903405.1 SAMN03455983
GCF_000783775.2 SAMN02934523
GCF_002902865.1 SAMN04286971
GCF_002803945.1 SAMN08042684
GCF_002803925.1 SAMN08042683
GCF_002764135.1 SAMN07410266
GCF_000959705.2 SAMN03389335
GCF_002735225.1 SAMN04208118
GCF_002587065.1 SAMN07585949
GCF_002586745.1 SAMN07585966
GCF_002313065.1 SAMN05735119
GCF_002285935.1 SAMN07577462
GCF_002214305.1 SAMN07276874
GCF_002214265.1 SAMN07276873
GCF_002214245.1 SAMN07276469
GCF_002180335.1 SAMN06812489
GCF_001895965.1 SAMN06016471
GCF_001687125.1 SAMN03294822
GCF_001683535.1 SAMN05188441
GCF_001634345.1 SAMN04901561
GCF_001634325.1 SAMN03455926
GCF_001593245.1 SAMN04012505
GCF_000401555.1 SAMN02603614
GCF_001518775.1 SAMN04404355
GCF_001455365.1 SAMN04266592
GCF_001447335.1 SAMN04110141
GCF_001019645.1 SAMN03744001
GCF_000963645.1 SAMN03421355
GCF_000940915.1 SAMN03366652
GCF_000204115.1 SAMN02603940
GCF_000196395.1 SAMN02603664
GCF_000819505.1 SAMN03283200
GCF_000287215.2 SAMN02472129
GCF_000635955.1 SAMN02728499
GCF_000633175.1 SAMN02726090
GCF_000014805.1 SAMN02604052
