Elizabethkingia | número de entradas: 75 | date: 2023-05-03 10:42:15.368939
GCF_029873335.1 SAMN31358077
GCF_029873315.1 SAMN31358076
GCA_029623655.1 SAMN33037595
GCF_029277485.1 SAMN33591060
GCF_024123775.1 SAMN29473046
GCA_023092945.2 SAMN27739174
GCF_025449135.1 SAMN30929146
GCF_024205645.1 SAMN18192318
GCF_024205625.1 SAMN18192315
GCF_024205605.1 SAMN18192316
GCF_024205585.1 SAMN18192317
GCF_024205565.1 SAMN18192319
GCF_024205545.1 SAMN18192320
GCF_024205525.1 SAMN18192321
GCF_024205505.1 SAMN18192322
GCF_024205485.1 SAMN18192324
GCF_024205465.1 SAMN18192323
GCF_024205445.1 SAMN18192325
GCF_024205425.1 SAMN18192326
GCF_024205185.1 SAMN18192327
GCF_024205165.1 SAMN18192328
GCF_024205145.1 SAMN18192329
GCF_024205125.1 SAMN18192330
GCF_024205105.1 SAMN18192331
GCF_024205085.1 SAMN18192332
GCF_024205065.1 SAMN18192333
GCF_024205045.1 SAMN18192335
GCF_024205025.1 SAMN18192334
GCF_022221505.1 SAMN19866462
GCF_022221485.1 SAMN19866463
GCF_022221465.1 SAMN19866464
GCF_022221445.1 SAMN19866465
GCF_022221425.1 SAMN19866466
GCF_022221405.1 SAMN19866467
GCF_021431905.1 SAMN24471064
GCF_016838625.1 SAMN17717915
GCF_016599835.1 SAMN16357200
GCF_016598555.1 SAMN17073646
GCF_014702245.1 SAMN08166467
GCF_011612125.1 SAMN14310234
GCF_009938095.1 SAMN07139315
GCF_009810215.1 SAMD00195183
GCF_009697265.1 SAMN13281618
GCA_007923165.1 SAMN10847883
GCF_007923145.1 SAMN10847884
GCF_006088815.1 SAMN11616642
GCA_005844065.1 SAMN11638311
GCF_005234115.1 SAMN11533985
GCF_900475375.1 SAMEA3643315
GCF_002277995.2 SAMN04875535
GCF_002951455.1 SAMN03996278
GCF_002951395.1 SAMN03996277
GCF_002887275.1 SAMN04254555
GCF_002557775.1 SAMN07733282
GCF_002310535.1 SAMN07625921
GCF_000240095.2 SAMN02470679
GCF_002310515.1 SAMN07625922
GCF_002023665.2 SAMN02470677
GCF_002024825.1 SAMN04482309
GCF_002024805.1 SAMN05277827
GCF_002023235.2 SAMN04482265
GCF_002022145.1 SAMN05281842
GCF_002022125.1 SAMN05281858
GCF_002022105.1 SAMN05281841
GCF_002022085.1 SAMN05277779
GCF_002022065.1 SAMN05273152
GCF_002022045.1 SAMN05255122
GCF_002022025.1 SAMN04254539
GCF_001596175.2 SAMN04567744
GCF_001618465.2 SAMN04590540
GCF_001618505.2 SAMN04567738
GCF_001618545.2 SAMN04567745
GCF_001011675.1 SAMN03704061
GCF_000955665.1 SAMN03398457
GCF_000495935.2 SAMN02470988
