Klebsiella_oxytoca | número de entradas: 46 | date: 2023-05-03 10:44:23.192966
GCF_027627785.1 SAMN28911479
GCF_025579125.1 SAMN31152639
GCF_025676565.1 SAMN31261055
GCF_905232115.2 SAMEA7962775
GCF_025732175.1 SAMN30015118
GCA_905330785.2 SAMEA8065772
GCF_905338025.2 SAMEA8158514
GCF_905330835.2 SAMEA8065780
GCF_905333885.2 SAMEA8158457
GCA_905330855.2 SAMEA8065778
GCA_905329895.2 SAMEA8065679
GCF_905322525.2 SAMEA8065686
GCF_905329555.2 SAMEA8065822
GCF_905330865.2 SAMEA8065781
GCF_022605305.1 SAMN26549876
GCF_021398915.1 SAMN24372405
GCF_017968865.1 SAMN18675296
GCF_017310465.1 SAMN16561276
GCF_016904515.1 SAMN16357473
GCF_016903975.1 SAMN16357475
GCF_016903715.1 SAMN16357474
GCF_016903415.1 SAMN16357476
GCF_904863345.1 SAMEA3357409
GCF_013826985.1 SAMN15148287
GCA_013784845.1 SAMN15148636
GCA_013751295.1 SAMN15148592
GCF_013750595.1 SAMN15148597
GCA_013747515.1 SAMN15148647
GCA_013737895.1 SAMN15148609
GCA_013733775.1 SAMN15148673
GCF_009707385.1 SAMN13290334
GCF_900636985.1 SAMEA3923594
GCF_900635105.1 SAMEA3251432
GCF_003812925.1 SAMN10163176
GCF_900478285.1 SAMEA3251431
GCF_003073975.1 SAMN07291523
GCF_002984395.1 SAMN06173348
GCF_002947505.1 SAMN04014869
GCF_002906435.1 SAMN06040382
GCF_002906395.1 SAMN04287054
GCF_002072655.1 SAMN04014988
GCF_001970835.1 SAMN03733848
GCF_001870185.1 SAMN03733631
GCF_001022295.1 SAMN03733663
GCF_001022115.1 SAMN03733750
GCF_000714655.1 SAMN02786843
