#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000006781.3|SAMN02603940|GCA_000204115.1|Aeromonas veronii B565||B565|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000204115.1	Complete Genome	4551783	4551783	1	NULL	Generic	PRJNA63671	The Key Laboratory of Molecular Microbiology and Technology, Ministry of Education & Feed Research Institute, Chinese Academy of	SAMN02603940	"B565","CP002607"	NULL	NULL	NULL	266328	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP002607	Aeromonas veronii B565	NULL	NULL	654	NULL	NULL	B565	NULL	NULL	PDT000006781.3	2011-04-13	998088	NULL	NULL	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"blaOXA,cphA"	"blaOXA,cphA"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000008215.3|SAMN02463951|GCA_000298035.1|Aeromonas veronii AMC35||AMC35|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000298035.1	Scaffold	351392	4565607	20	allpaths v. R41370	MIGS Cultured Bacterial/Archaeal	PRJNA71519	Broad Institute	SAMN02463951	"71519","AMC35"	NULL	missing	clinical	430138	not determined	Homo sapiens	NULL	NULL	not determined	NULL	NULL	71519	Aeromonas veronii AMC35	NULL	NULL	654	NULL	NULL	AMC35	NULL	"Aeromonas veronii AMC35"	PDT000008215.3	2012-10-02	1073385	AGWW	AGWW00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"blaOXA,cphA"	"blaOXA,cphA"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000009073.3|SAMN02463948|GCA_000297975.1|Aeromonas veronii AER39||AER39|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000297975.1	Scaffold	188051	4420590	36	allpaths v. R41370	MIGS Cultured Bacterial/Archaeal	PRJNA71513	Broad Institute	SAMN02463948	"71513","AER39"	NULL	missing	clinical	430508	not determined	Homo sapiens	NULL	NULL	not determined	NULL	NULL	71513	Aeromonas veronii AER39	NULL	NULL	654	NULL	NULL	AER39	NULL	"Aeromonas veronii AER39"	PDT000009073.3	2012-10-02	1073382	AGWT	AGWT00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaOXA,cphA,mcr-3=PARTIAL,vat=HMM"	"blaOXA,cphA,mcr-3=PARTIAL,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000009074.3|SAMN02463949|GCA_000298015.1|Aeromonas veronii AMC34||AMC34|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000298015.1	Scaffold	219183	4578728	24	allpaths v. R41370	MIGS Cultured Bacterial/Archaeal	PRJNA71515	Broad Institute	SAMN02463949	"71515","AMC34"	NULL	missing	clinical	430248	not determined	Homo sapiens	NULL	NULL	not determined	NULL	NULL	71515	Aeromonas veronii AMC34	NULL	NULL	654	NULL	NULL	AMC34	NULL	"Aeromonas veronii AMC34"	PDT000009074.3	2012-10-02	1073383	AGWU	AGWU00000000.1	NULL	NULL	NULL	0	0	0	0	4	4	NULL	"blaOXA,cphA,fos=HMM,vat=HMM"	"blaOXA,cphA,fos=HMM,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000009075.3|SAMN02463950|GCA_000297995.1|Aeromonas veronii AER397||AER397|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000297995.1	Scaffold	645709	4496658	22	allpaths v. R41377	MIGS Cultured Bacterial/Archaeal	PRJNA71517	Broad Institute	SAMN02463950	"71517","AER397"	NULL	missing	clinical	430318	not determined	Homo sapiens	NULL	NULL	not determined	NULL	NULL	71517	Aeromonas veronii AER397	NULL	NULL	654	NULL	NULL	AER397	NULL	"Aeromonas veronii AER397"	PDT000009075.3	2012-10-02	1073384	AGWV	AGWV00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"blaOXA,cphA"	"blaOXA,cphA"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000017980.4|SAMN02471703|GCA_000464515.2|Aeromonas veronii Hm21||Hm21|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000464515.2	Complete Genome	4710355	4766880	2	HGAP v. 3	Generic	PRJNA205862	University of Connecticut	SAMN02471703	"ATFB","Hm21"	NULL	1996-04	NULL	21272438	Turkey	Hirudo verbana	NULL	digestive tract	NULL	NULL	NULL	ATFB	Aeromonas veronii Hm21	NULL	NULL	654	NULL	NULL	Hm21	NULL	NULL	PDT000017980.4	2020-07-31	1347420	NULL	NULL	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaOXA,cphA,vat=HMM"	"blaOXA,cphA,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000039340.2|SAMN03018688|GCA_000754905.1|Aeromonas veronii||ARB3|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000754905.1	Contig	205115	4542657	63	CLC Genomics Workbench v. 6.5	Microbe	PRJNA260226	Osaka Ohtani University	SAMN03018688	"ARB3","amoebae resistant bacterium ARB3"	Takehiko Kenzaka	2013-01-09	NULL	1203058	Japan: Tondabayashi	NULL	NULL	pond water	NULL	NULL	NULL	amoebae resistant bacterium ARB3	Aeromonas veronii	NULL	NULL	654	NULL	NULL	ARB3	NULL	NULL	PDT000039340.2	2014-09-16	654	JRBE	JRBE00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaOXA,cphA,vat=HMM"	"blaOXA,cphA,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000048315.2|SAMEA2752404|GCA_000820225.1|Aeromonas veronii bv. veronii||CECT 4257|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000820225.1	Scaffold	148348	4516420	89	NULL	Generic	PRJEB7044	University of Connecticut	SAMEA2752404	"CECT 4257","CECT4257_sam","ERS541001"	NULL	NULL	NULL	1479448	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Aeromonas veronii bv. veronii	NULL	NULL	654	NULL	NULL	CECT 4257	NULL	NULL	PDT000048315.2	2015-01-16	197701	CDDK	CDDK00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"blaOXA,cphA"	"blaOXA,cphA"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000048318.2|SAMEA2752401|GCA_000820285.1|Aeromonas veronii||CIP 107763|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000820285.1	Contig	188049	4430813	64	NULL	Generic	PRJEB7047	University of Connecticut	SAMEA2752401	"CIP 107763","CIP107763_sam","ERS540998"	NULL	NULL	NULL	1479508	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Aeromonas veronii	NULL	NULL	654	NULL	NULL	CIP 107763	NULL	NULL	PDT000048318.2	2015-01-16	654	CDDU	CDDU00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaOXA-912,cphA,vat=HMM"	"blaOXA-912,cphA,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000048321.2|SAMEA2752398|GCA_000820365.1|Aeromonas veronii||CECT 4486|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000820365.1	Scaffold	90706	4410797	108	NULL	Generic	PRJEB7050	University of Connecticut	SAMEA2752398	"CECT 4486","CECT4486_sam","ERS540995"	NULL	NULL	NULL	1479588	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Aeromonas veronii	NULL	NULL	654	NULL	NULL	CECT 4486	NULL	NULL	PDT000048321.2	2015-01-16	654	CDBU	CDBU00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaOXA,cphA,vat=HMM"	"blaOXA,cphA,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000048322.2|SAMEA2752397|GCA_000820385.1|Aeromonas veronii bv. sobria||LMG 13067|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000820385.1	Scaffold	91946	4735607	132	NULL	Generic	PRJEB7051	University of Connecticut	SAMEA2752397	"ERS540994","LMG 13067","LMG13067_sam"	NULL	NULL	NULL	1479608	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Aeromonas veronii bv. sobria	NULL	NULL	654	NULL	NULL	LMG 13067	NULL	NULL	PDT000048322.2	2015-01-16	114517	CDBQ	CDBQ00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaOXA,cphA,vat=HMM"	"blaOXA,cphA,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000095057.2|SAMN04099649|GCA_001446465.1|Aeromonas veronii||TTU2014-108AME|Pathogen: environmental/food/other	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001446465.1	Contig	162342	4533329	62	A5-miseq v. 20141121	Pathogen: environmental/food/other	PRJNA296464	Texas Tech University	SAMN04099649	"TTU2014-108AME"	Texas Tech University	2014-06-23	environmental/other	2689418	USA: Texas Panhandle	NULL	NULL	feces	NULL	NULL	NULL	TTU2014-108AME	Aeromonas veronii	NULL	NULL	654	NULL	NULL	TTU2014-108AME	NULL	NULL	PDT000095057.2	2015-11-19	654	LKJN	LKJN00000000.1	NULL	NULL	NULL	0	0	0	0	3	3	NULL	"blaOXA,cphA,vat=HMM"	"blaOXA,cphA,vat=HMM"	2	"arsC=HMM,arsD=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
